set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	p_val	n_vars_total	n_vars_tested	ma_count	n_cases_with_ma	method_for_p_assessment	rare_vars_tested	common_vars_tested	cutoff
TRIM63	483	2	0.0196687370600414	479	0.781163942704712	2	2	NA	NA	NA	2	0	0.0321744726043893
PDIK1L	483	1	0.010351966873706	479	0.230321863413147	1	NA	1	1	ER	NA	NA	NA
CNKSR1	483	2	0.010351966873706	479	0.669410934181694	2	2	NA	NA	NA	1	1	0.0321744726043893
CATSPER4	483	4	0.0274327122153209	479	0.77305174390529	4	4	NA	NA	NA	4	0	0.0321744726043893
UBXN11	483	2	0.0538302277432712	479	0.475204147726139	2	2	NA	NA	NA	2	0	0.0321744726043893
AIM1L	483	3	0.044168391994479	479	0.739674960190851	3	3	NA	NA	NA	3	0	0.0321744726043893
DHDDS	483	1	0.0041407867494824	479	0.210608687081049	1	NA	1	1	ER	NA	NA	NA
RPS6KA1	483	1	0.0496894409937888	479	0.161951045060054	1	NA	1	1	ER	NA	NA	NA
PIGV	483	3	0.00138026224982747	479	0.349231528107725	3	3	NA	NA	NA	3	0	0.0321744726043893
GPATCH3	483	1	0.0041407867494824	479	0.713036292128939	1	NA	1	1	ER	NA	NA	NA
SLC9A1	483	1	0.010351966873706	479	0.192445172632365	1	NA	1	1	ER	NA	NA	NA
TMEM222	483	1	0.0041407867494824	479	0.208714136282087	1	NA	1	1	ER	NA	NA	NA
FCN3	483	2	0.0683229813664596	479	0.0114562695946968	2	2	NA	NA	NA	2	0	0.0321744726043893
GPR3	483	1	0.0662525879917184	479	0.697618197794851	1	NA	1	1	ER	NA	NA	NA
FAM76A	483	1	0.0020703933747412	479	0.204585579066257	1	NA	1	1	ER	NA	NA	NA
THEMIS2	483	1	0.0020703933747412	479	0.242059679926095	1	NA	1	1	ER	NA	NA	NA
SMPDL3B	483	1	0.165631469979296	479	0.744364961940632	1	NA	2	2	ER	NA	NA	NA
PTAFR	483	1	0.0082815734989648	479	0.780303434236765	1	NA	3	3	ER	NA	NA	NA
SESN2	483	1	0.0786749482401656	479	0.199499852914824	1	NA	1	1	ER	NA	NA	NA
MED18	483	2	0.036231884057971	479	0.263319076625248	2	2	NA	NA	NA	2	0	0.0321744726043893
PHACTR4	483	2	0.0424430641821946	479	0.758509902810498	2	2	NA	NA	NA	2	0	0.0321744726043893
TRNAU1AP	483	2	0.0041407867494824	479	0.753587392139571	2	2	NA	NA	NA	2	0	0.0321744726043893
GMEB1	483	2	0.0093167701863354	479	0.434319277925917	2	2	NA	NA	NA	2	0	0.0321744726043893
EPB41	483	7	0.00443655723158829	479	0.446407876422307	7	7	NA	NA	NA	7	0	0.0321744726043893
LAPTM5	483	1	0.0041407867494824	479	0.480472413289774	1	NA	4	4	ER	NA	NA	NA
SDC3	483	2	0.0082815734989648	479	0.013919529414623	2	2	NA	NA	NA	2	0	0.0321744726043893
PUM1	483	1	0.0269151138716356	479	0.641563165338066	1	NA	1	1	ER	NA	NA	NA
SERINC2	483	1	0.072463768115942	479	0.734896229131958	1	NA	1	1	ER	NA	NA	NA
TINAGL1	483	1	0.0020703933747412	479	0.219992060989233	1	NA	1	1	ER	NA	NA	NA
PEF1	483	1	0.140786749482402	479	0.713036292128939	1	NA	1	1	ER	NA	NA	NA
BAI2	483	2	0.0559006211180124	479	0.365433666587413	2	2	NA	NA	NA	2	0	0.0321744726043893
SPOCD1	483	2	0.0548654244306418	479	0.28944822861289	2	2	NA	NA	NA	2	0	0.0321744726043893
TXLNA	483	1	0.0476190476190476	479	0.728305734326347	1	NA	1	1	ER	NA	NA	NA
IQCC	483	2	0.0072463768115942	479	0.778471664379373	2	2	NA	NA	NA	2	0	0.0321744726043893
DCDC2B	483	4	0.0357142857142857	479	0.340848630370285	4	4	NA	NA	NA	4	0	0.0321744726043893
HDAC1	483	1	0.0041407867494824	479	0.693471078382635	1	NA	1	1	ER	NA	NA	NA
TSSK3	483	1	0.0041407867494824	479	0.198003225405028	1	NA	1	1	ER	NA	NA	NA
ZBTB8B	483	1	0.0041407867494824	479	0.68972640044785	1	NA	1	1	ER	NA	NA	NA
SYNC	483	3	0.00897170462387854	479	0.918894895929987	3	3	NA	NA	NA	3	0	0.0321744726043893
TMEM54	483	2	0.0445134575569358	479	0.813102005614386	2	2	NA	NA	NA	2	0	0.0321744726043893
RNF19B	483	1	0.0372670807453416	479	0.242945285345673	1	NA	1	1	ER	NA	NA	NA
ADC	483	1	0.0041407867494824	479	0.705661180243411	1	NA	1	1	ER	NA	NA	NA
A3GALT2	483	2	0.0383022774327122	479	0.119785507468111	2	2	NA	NA	NA	2	0	0.0321744726043893
ZSCAN20	483	1	0.010351966873706	479	0.73809656250939	1	NA	1	1	ER	NA	NA	NA
CSMD2	483	2	0.0289855072463768	479	0.580139887646114	2	2	NA	NA	NA	2	0	0.0321744726043893
HMGB4	483	2	0.0807453416149068	479	0.35714090817029	2	2	NA	NA	NA	2	0	0.0321744726043893
C1orf94	483	2	0.0859213250517598	479	0.243250687181222	2	2	NA	NA	NA	2	0	0.0321744726043893
GJB5	483	1	0.0393374741200828	479	0.213744807194596	1	NA	2	1	ER	NA	NA	NA
GJB4	483	4	0.0108695652173913	479	0.765799459148857	4	4	NA	NA	NA	2	2	0.0321744726043893
GJB3	483	2	0.0165631469979296	479	0.565135732892604	2	2	NA	NA	NA	2	0	0.0321744726043893
KIAA0319L	483	1	0.0351966873706004	479	0.739791436401339	1	NA	2	2	ER	NA	NA	NA
TFAP2E	483	2	0.0144927536231884	479	0.202797291298753	2	2	NA	NA	NA	2	0	0.0321744726043893
C1orf216	483	1	0.130434782608696	479	0.733381605286996	1	NA	1	1	ER	NA	NA	NA
TEKT2	483	1	0	479	0.734896229131958	1	NA	1	1	ER	NA	NA	NA
SH3D21	483	3	0.0062111801242236	479	0.730334953174463	3	3	NA	NA	NA	3	0	0.0321744726043893
LSM10	483	1	0.0020703933747412	479	0.22043311342298	1	NA	1	1	ER	NA	NA	NA
MRPS15	483	2	0.0113871635610766	479	0.733809925536618	2	2	NA	NA	NA	2	0	0.0321744726043893
CSF3R	483	1	0	479	0.338523077370526	1	NA	2	2	ER	NA	NA	NA
GRIK3	483	1	0.132505175983437	479	0.729324385826771	1	NA	1	1	ER	NA	NA	NA
DNALI1	483	1	0.0124223602484472	479	0.727274924451032	1	NA	1	1	ER	NA	NA	NA
GNL2	483	1	0.0041407867494824	479	0.23222846973664	1	NA	1	1	ER	NA	NA	NA
EPHA10	483	2	0.0062111801242236	479	0.822433324533774	2	2	NA	NA	NA	2	0	0.0321744726043893
MANEAL	483	1	0.0020703933747412	479	0.157251763412463	1	NA	1	1	ER	NA	NA	NA
YRDC	483	1	0.0082815734989648	479	0.421756621518049	1	NA	3	3	ER	NA	NA	NA
INPP5B	483	2	0.098343685300207	479	0.667204594668545	1	1	NA	NA	NA	0	1	0.0321744726043893
FHL3	483	2	0.0238095238095238	479	0.13337363085266	2	2	NA	NA	NA	2	0	0.0321744726043893
UTP11L	483	2	0.0124223602484472	479	0.364984018605418	2	2	NA	NA	NA	2	0	0.0321744726043893
GJA9	483	1	0.0331262939958592	479	0.797389635075956	1	NA	3	3	ER	NA	NA	NA
RHBDL2	483	1	0.134575569358178	479	0.234606473773983	1	NA	1	1	ER	NA	NA	NA
HEYL	483	1	0.0041407867494824	479	0.727111455705236	1	NA	1	1	ER	NA	NA	NA
NT5C1A	483	2	0.0072463768115942	479	0.367761146828244	2	2	NA	NA	NA	2	0	0.0321744726043893
BMP8B	483	1	0.0683229813664596	479	0.674402822132352	1	NA	13	13	ER	NA	NA	NA
TRIT1	483	3	0.0303657694962043	479	0.739934057412297	3	3	NA	NA	NA	3	0	0.0321744726043893
MFSD2A	483	1	0.0455486542443064	479	0.663790303453814	1	NA	1	1	ER	NA	NA	NA
PPT1	483	1	0.0020703933747412	479	0.663814752385127	1	NA	1	1	ER	NA	NA	NA
RLF	483	3	0.0255348516218081	479	0.551597077955507	3	3	NA	NA	NA	2	1	0.0321744726043893
COL9A2	483	2	0.0082815734989648	479	0.836186851898838	2	2	NA	NA	NA	2	0	0.0321744726043893
ZFP69B	483	1	0.0062111801242236	479	0.723999918390351	1	NA	1	1	ER	NA	NA	NA
ZFP69	483	3	0.0324361628709455	479	0.629257200654085	3	3	NA	NA	NA	3	0	0.0321744726043893
EXO5	483	3	0.0179434092477571	479	0.298572762740365	3	3	NA	NA	NA	2	1	0.0321744726043893
ZNF684	483	2	0.0186335403726708	479	0.458476845855453	2	2	NA	NA	NA	2	0	0.0321744726043893
HIVEP3	483	2	0.0921325051759834	479	0.835280796838233	2	2	NA	NA	NA	2	0	0.0321744726043893
GUCA2B	483	1	0.0041407867494824	479	0.22724925414105	1	NA	1	1	ER	NA	NA	NA
GUCA2A	483	3	0.0213940648723257	479	0.274906480551976	3	3	NA	NA	NA	3	0	0.0321744726043893
PPIH	483	1	0.0165631469979296	479	0.215387112445676	1	NA	1	1	ER	NA	NA	NA
LEPRE1	483	3	0.00138026224982747	479	0.900213338511314	3	3	NA	NA	NA	2	1	0.0321744726043893
C1orf50	483	1	0.0331262939958592	479	0.157251763412463	1	NA	1	1	ER	NA	NA	NA
ERMAP	483	1	0.0041407867494824	479	0.336523769155238	1	NA	2	2	ER	NA	NA	NA
ZNF691	483	1	0.0020703933747412	479	0.0791096779054003	1	NA	2	2	ER	NA	NA	NA
SLC2A1	483	1	0.0020703933747412	479	0.687287546806823	1	NA	1	1	ER	NA	NA	NA
FAM183A	483	2	0.0062111801242236	479	0.833389808145851	2	2	NA	NA	NA	2	0	0.0321744726043893
EBNA1BP2	483	1	0.0683229813664596	479	0.106140801943386	1	NA	12	12	ER	NA	NA	NA
WDR65	483	2	0.0238095238095238	479	0.741389406974598	2	2	NA	NA	NA	2	0	0.0321744726043893
TIE1	483	2	0.0496894409937888	479	0.714167782175298	2	2	NA	NA	NA	2	0	0.0321744726043893
MPL	483	5	0.00165631469979296	479	0.776118217978708	5	5	NA	NA	NA	5	0	0.0321744726043893
SZT2	483	4	0.0212215320910973	479	0.766046153667994	4	4	NA	NA	NA	4	0	0.0321744726043893
PTPRF	483	1	0.0041407867494824	479	0.233184653928927	1	NA	1	1	ER	NA	NA	NA
KDM4A	483	2	0.0165631469979296	479	0.0203578396893364	2	2	NA	NA	NA	2	0	0.0321744726043893
DPH2	483	2	0.0331262939958592	479	0.786364322352198	2	2	NA	NA	NA	2	0	0.0321744726043893
KLF17	483	1	0.0020703933747412	479	0.756418186027151	1	NA	2	2	ER	NA	NA	NA
DMAP1	483	1	0.010351966873706	479	0.7337468253857	1	NA	1	1	ER	NA	NA	NA
RNF220	483	1	0.0579710144927536	479	0.120174356001054	1	NA	2	2	ER	NA	NA	NA
TMEM53	483	1	0.010351966873706	479	0.717930526004109	1	NA	1	1	ER	NA	NA	NA
C1orf228	483	2	0.0082815734989648	479	0.0409438239366238	2	2	NA	NA	NA	2	0	0.0321744726043893
KIF2C	483	1	0.0144927536231884	479	0.167756826866678	1	NA	3	3	ER	NA	NA	NA
BEST4	483	1	0.0786749482401656	479	0.242059679926095	1	NA	1	1	ER	NA	NA	NA
PLK3	483	1	0.010351966873706	479	0.744023834126113	1	NA	1	1	ER	NA	NA	NA
PTCH2	483	4	0.0626293995859213	479	0.716255783656406	3	3	NA	NA	NA	3	0	0.0321744726043893
EIF2B3	483	1	0	479	0.220270443656783	1	NA	1	1	ER	NA	NA	NA
HPDL	483	1	0.0020703933747412	479	0.710469661536826	1	NA	1	1	ER	NA	NA	NA
MUTYH	483	4	0.0243271221532091	479	0.664706285350605	4	4	NA	NA	NA	4	0	0.0321744726043893
TOE1	483	1	0.0020703933747412	479	0.730174987411484	1	NA	1	1	ER	NA	NA	NA
AKR1A1	483	3	0.0296756383712905	479	0.590865297465954	3	3	NA	NA	NA	3	0	0.0321744726043893
CCDC17	483	1	0.0165631469979296	479	0.125999472168177	1	NA	5	5	ER	NA	NA	NA
GPBP1L1	483	3	0.0110420979986197	479	0.0147066657208326	3	3	NA	NA	NA	3	0	0.0321744726043893
IPP	483	4	0.0372670807453416	479	0.705123477071814	4	4	NA	NA	NA	4	0	0.0321744726043893
PIK3R3	483	1	0.0786749482401656	479	0.704073874686191	1	NA	1	1	ER	NA	NA	NA
POMGNT1	483	3	0.0020703933747412	479	0.0134551787173824	3	3	NA	NA	NA	3	0	0.0321744726043893
RAD54L	483	4	0.0046583850931677	479	0.745744129396472	4	4	NA	NA	NA	4	0	0.0321744726043893
NSUN4	483	3	0.00690131124913734	479	0.461814736432181	3	3	NA	NA	NA	3	0	0.0321744726043893
FAAH	483	2	0.0113871635610766	479	0.553564050225509	2	2	NA	NA	NA	1	1	0.0321744726043893
MKNK1	483	1	0.0062111801242236	479	0.671296695421465	1	NA	1	1	ER	NA	NA	NA
MOB3C	483	1	0.0393374741200828	479	0.877298406771886	NA	NA	458	347	Firth	NA	NA	NA
EFCAB14	483	1	0.0227743271221532	479	0.245228860621393	1	NA	1	1	ER	NA	NA	NA
