set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	n_vars_retained	n_vars_retained_cr	burden_skatw	burden_mbw	burden_lw	skat_skatw	skat_mbw	skat_lw	skato_skatw	skato_mbw	skato_lw	cr_skat	cr_burden	min_p
CDK11A	483	1	0.010351966873706	479	1	1	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918	0.249112191927918
C1orf222	483	2	0.124223602484472	479	1	1	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.247963777947056	0.303075455103718	0.303075455103718	0.247963777947056
GABRD	483	1	0.072463768115942	479	1	1	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808	0.513279185197808
PRKCZ	483	1	0.0434782608695652	479	1	1	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019	0.23690474695019
MORN1	483	3	0.0179434092477571	479	3	3	0.284814316911592	0.563228244052274	0.285174152804595	0.31091218114285	0.186987989017573	0.330524461725176	0.381131821485312	0.335380542440489	0.42654841817572	0.300376161545797	0.28587862711547	0.186987989017573
PLCH2	483	4	0.0082815734989648	479	4	4	0.228055245304198	0.228055245304198	0.228055245304198	0.050296884802579	0.050296884802579	0.050296884802579	0.171878291012908	0.171878291012908	0.171878291012908	0.0614403339103835	0.311768472017499	0.050296884802579
MMEL1	483	3	0.0248447204968944	479	3	3	0.429526471070259	0.28044799578634	0.429526471070259	0.737442128299868	0.737442128299868	0.737442128299868	0.661082734328028	0.465244938108448	0.661082734328028	0.845649802236552	0.425457064226132	0.28044799578634
PRDM16	483	2	0.0859213250517598	479	1	1	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.646899378515263	0.717317483944949	0.717317483944949	0.646899378515263
ARHGEF16	483	2	0.0921325051759834	479	2	2	0.749584060807793	0.749584060807793	0.749584060807793	0.502870773668789	0.502870773668789	0.502870773668789	0.834118274612721	0.834118274612721	0.834118274612721	0.703937235484697	0.808612523757544	0.502870773668789
MEGF6	483	1	0.0124223602484472	479	NA	NA	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471	0.565362250456471
TPRG1L	483	1	0	479	1	1	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246	0.20126796902246
CCDC27	483	4	0.0025879917184265	479	4	4	0.0820996875127535	0.0820996875127535	0.0820996875127535	0.745676684826958	0.745676684826958	0.745676684826958	0.111776784997002	0.111776784997002	0.111776784997002	0.71078520035033	0.0480368503878685	0.0480368503878685
LRRC47	483	1	0.0020703933747412	479	1	1	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804	0.7181215484804
CEP104	483	3	0.00552104899930987	479	3	3	0.801718523936315	0.801718523936315	0.801718523936315	0.337540943347143	0.337540943347143	0.337540943347143	0.475293270059124	0.475293270059124	0.475293270059124	0.277569274439914	0.735276641024141	0.277569274439914
NPHP4	483	6	0.0241545893719807	479	6	6	0.56124602620532	0.985090258701572	0.433266808763506	0.247345181309822	0.211030737788131	0.247345181309822	0.345303801445819	0.345406019558499	0.331994571693846	0.254092325577617	0.60037766111341	0.211030737788131
KCNAB2	483	2	0.0082815734989648	479	2	2	0.754730233853014	0.754730233853014	0.754730233853014	0.291168008135481	0.291168008135481	0.291168008135481	0.291168008135481	0.291168008135481	0.291168008135481	0.260950107991274	0.821487155315896	0.260950107991274
HES3	483	1	0.0020703933747412	479	1	1	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742	0.223178847281742
ESPN	483	1	0.0041407867494824	479	0	0	1	1	1	1	1	1	1	1	1	1	1	1
TNFRSF25	483	1	0.020703933747412	479	NA	NA	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361	0.289667965281361
PLEKHG5	483	2	0.0403726708074534	479	2	2	0.0707604664188412	0.0707604664188412	0.0707604664188412	0.235502573898765	0.19053838882154	0.235502573898765	0.136023790609985	0.109265076640844	0.136023790609985	0.243877667466517	0.0857966384052597	0.0707604664188412
TAS1R1	483	2	0.010351966873706	479	2	2	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.122274726680283	0.34944015750986	0.108940892068252	0.108940892068252
CAMTA1	483	3	0.0241545893719807	479	3	3	0.421131025629882	0.421131025629882	0.421131025629882	0.472667037818695	0.472667037818695	0.472667037818695	0.631366618562202	0.631366618562202	0.631366618562202	0.429005768614441	0.630756239302068	0.421131025629882
PARK7	483	1	0	479	0	0	1	1	1	1	1	1	1	1	1	1	1	1
ERRFI1	483	1	0.0144927536231884	479	1	1	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499	0.160532874628499
SLC45A1	483	2	0.0838509316770186	479	NA	2	0.713738732174332	0.713738732174332	0.713738732174332	0.713738732174332	0.713738732174332	0.713738732174332	0.713738732174332	0.713738732174332	NA	0.758510694704727	0.758511923634131	0.713738732174332
CA6	483	1	0.0124223602484472	479	NA	NA	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117	0.650682020286117
SLC2A7	483	1	0.0082815734989648	479	1	1	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878	0.514042350458878
SLC2A5	483	2	0.0062111801242236	479	2	2	0.365026808745546	0.365026808745546	0.365026808745546	0.596892005041207	0.596892005041207	0.596892005041207	0.596892005041207	0.596892005041207	0.596892005041207	0.603906482236791	0.188815822651906	0.188815822651906
H6PD	483	5	0.00082815734989648	479	4	4	0.0614391852665488	0.0614391852665488	0.0614391852665488	0.237699080121495	0.141881459918322	0.237699080121495	0.212176608891308	0.0932558265331263	0.212176608891308	0.331361295271181	0.101384041539464	0.0614391852665488
SLC25A33	483	1	0.0020703933747412	479	1	1	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422	0.745314899161422
CLSTN1	483	2	0.0020703933747412	479	2	2	0.924151467015424	0.849999353935679	0.924151467015424	0.652401913623021	0.763497816360316	0.652401913623021	0.813055564278129	0.924151467015424	0.813055564278129	0.682297975768878	0.796114208916799	0.652401913623021
CTNNBIP1	483	1	0.0062111801242236	479	1	1	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072	0.751907853744072
NMNAT1	483	1	0.0165631469979296	479	1	1	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485	0.219043975123485
UBE4B	483	1	0.126293995859213	479	1	1	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135	0.3542927383135
KIF1B	483	6	0.005175983436853	479	6	6	0.314716039409175	0.408192332515017	0.274584143576544	0.455174036334538	0.596320695303814	0.474719416211045	0.419944398162537	0.667568375322114	0.377542813467783	0.388180231593984	0.290917959048045	0.274584143576544
PGD	483	1	0.0020703933747412	479	1	1	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027	0.234269927607027
DFFA	483	2	0.0476190476190476	479	2	2	0.168973061835013	0.168973061835013	0.168973061835013	0.40572965450686	0.599939920547858	0.40572965450686	0.253375921125016	0.253375921125016	0.253375921125016	0.426842370098575	0.174194266909988	0.168973061835013
CASZ1	483	2	0.062111801242236	479	2	2	0.755666898419122	0.755666898419122	0.755666898419122	0.472405029017044	0.472405029017044	0.472405029017044	0.838700925772617	0.838700925772617	0.838700925772617	0.642244123547292	0.798888966956255	0.472405029017044
MASP2	483	5	0.0115942028985507	479	5	5	0.38416583069961	0.792378757636883	0.220505521077994	0.0737862001207479	0.0514884710100399	0.0715683678498241	0.121633421876693	0.107380529580009	0.103669960636704	0.0666565690885978	0.415632342953255	0.0514884710100399
EXOSC10	483	1	0.0041407867494824	479	1	1	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447
ANGPTL7	483	1	0.153209109730849	479	1	1	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992	0.799815281511992
PTCHD2	483	1	0.062111801242236	479	1	1	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398	0.0436670233144398
AGTRAP	483	1	0.17184265010352	479	1	1	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465	0.721143763061465
MTHFR	483	3	0.010351966873706	479	3	3	0.0519769278245316	0.320668087902797	0.0514739479328141	0.165612602525837	0.327769903643522	0.163870358868413	0.0603449485124788	0.441246226807559	0.0596546052803727	0.310650517216962	0.192678778353589	0.0514739479328141
CLCN6	483	2	0.0124223602484472	479	2	2	0.115508295080108	0.115508295080108	0.115508295080108	0.309215880582926	0.309215880582926	0.309215880582926	0.309215880582926	0.309215880582926	0.309215880582926	0.334296392756185	0.125307851097668	0.115508295080108
NPPA	483	2	0.0093167701863354	479	2	2	0.0637024282196575	0.0282020646456899	0.735363425723455	0.47184551246433	0.0583774344442688	0.735721850868414	0.0720916522598848	0.0390402400221588	0.735423268917812	0.0713084453690595	0.0713084453690595	0.0282020646456899
NPPB	483	1	0.0041407867494824	479	1	1	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054	0.161951045060054
PLOD1	483	1	0	479	1	1	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858	0.0908266177187858
MFN2	483	2	0.0010351966873706	479	2	2	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0915526835339328	0.0872265477653329	0.0503225103549517	0.0503225103549517
TNFRSF8	483	1	0.0020703933747412	479	NA	NA	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192	0.0493745023996192
DHRS3	483	1	0	479	1	1	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842	0.665633157471842
AADACL4	483	2	0.0031055900621118	479	2	2	0.737688420139554	0.737688420139554	0.737688420139554	0.804855979912851	0.804855979912851	0.804855979912851	0.804855979912851	0.804855979912851	0.804855979912851	0.793327740109326	0.811900289621225	0.737688420139554
AADACL3	483	1	0.0393374741200828	479	NA	NA	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485	0.350741001980485
C1orf158	483	2	0.0020703933747412	479	2	2	0.654446900872237	0.973037928117969	0.56217729421917	0.284209674355559	0.319629617287401	0.284209674355559	0.447723930291609	0.455136764234659	0.374639095329087	0.290864228921437	0.655953654659882	0.284209674355559
PRAMEF12	483	3	0.0110420979986197	479	3	3	0.0963419255349039	0.0458639530566791	0.117207132327667	0.277675085406772	0.234332919681611	0.277675085406772	0.181488142398956	0.0848707132604567	0.181488142398956	0.324001084321966	0.0825130023092822	0.0458639530566791
PRAMEF2	483	1	0.0124223602484472	479	1	1	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435	0.209632188304435
PRDM2	483	2	0.010351966873706	479	NA	2	0.229217661137143	0.229217661137143	0.229217661137143	0.229217661137143	0.229217661137143	0.229217661137143	0.229217661137143	0.229217661137143	NA	0.246031518556136	0.246029739863878	0.229217661137143
TMEM51	483	1	0.0041407867494824	479	1	1	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505	0.724541769317505
FHAD1	483	7	0.0124223602484472	479	7	7	0.57269604308443	0.57269604308443	0.57269604308443	0.941977603011754	0.941977603011754	0.941977603011754	0.802274168746271	0.785861042820355	0.802274168746271	0.917295205956702	0.589000618618297	0.57269604308443
CTRC	483	1	0.0062111801242236	479	1	1	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101	0.747900632321101
CELA2A	483	1	0.0062111801242236	479	1	1	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968	0.413370443265968
CASP9	483	1	0.0579710144927536	479	1	1	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433	0.476132129766433
DNAJC16	483	2	0.0062111801242236	479	2	2	0.739968088701122	0.739968088701122	0.739968088701122	0.811802475750342	0.811802475750342	0.811802475750342	0.811802475750342	0.811802475750342	0.811802475750342	0.803385443511736	0.815944570112882	0.739968088701122
AGMAT	483	3	0.00966183574879227	479	3	3	0.785415291407943	0.785415291407943	0.785415291407943	0.723527175872043	0.723527175872043	0.723527175872043	0.927717973576227	0.927717973576227	0.927717973576227	0.588522781514662	0.770001019644843	0.588522781514662
DDI2	483	1	0.0269151138716356	479	1	1	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621	0.225580312654621
TMEM82	483	1	0.0331262939958592	479	1	1	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197	0.23000012597197
FBLIM1	483	1	0.182194616977226	479	1	1	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187	0.213790923405187
CLCNKA	483	2	0.0590062111801242	479	2	2	0.339249058527818	0.339249058527818	0.339249058527818	0.820271512584659	0.820271512584659	0.820271512584659	0.574964854576568	0.574964854576568	0.574964854576568	0.849184509881309	0.37755052923141	0.339249058527818
CLCNKB	483	1	0.0041407867494824	479	1	1	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772	0.32341442126772
EPHA2	483	3	0.0372670807453416	479	3	3	0.417702971792861	0.417702971792861	0.417702971792861	0.169281706292724	0.169281706292724	0.169281706292724	0.394574200102339	0.394574200102339	0.394574200102339	0.174378185444494	0.696794959886665	0.169281706292724
FBXO42	483	1	0.0062111801242236	479	1	1	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857	0.7337468253857
SPATA21	483	1	0.072463768115942	479	1	1	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218	0.234215015833218
MFAP2	483	1	0.0020703933747412	479	1	1	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301	0.677010564350301
SDHB	483	2	0.005175983436853	479	2	2	0.418902250535771	0.511281075976759	0.362023412753722	0.435015963858	0.647077867876821	0.435015963858	0.540845186822518	0.647077867876821	0.483966349040469	0.495364869493404	0.450320282770145	0.362023412753722
PADI2	483	5	0.0198757763975155	479	5	5	0.549049452155663	0.254369824137403	0.549372532355387	0.302424518574226	0.196004977289689	0.306170882317864	0.488814565340568	0.328244936470471	0.492560929084206	0.334393087989563	0.583412168897224	0.196004977289689
PADI1	483	2	0.0082815734989648	479	2	2	0.338847575462835	0.338847575462835	0.338847575462835	0.819015211228852	0.819015211228852	0.819015211228852	0.574628414802552	0.574628414802552	0.574628414802552	0.802022615856083	0.364456630249876	0.338847575462835
PADI3	483	5	0.0550724637681159	479	5	5	0.252445747203574	0.158935535919073	0.275050213632019	0.799873525030382	0.723542382301357	0.506044253667141	0.371815120151436	0.24442960805175	0.360434613263669	0.755177935364353	0.487000367518015	0.158935535919073
PADI4	483	7	0.023365868086365	479	7	7	0.425776175655757	0.427431959249804	0.448248763401745	0.741676905541916	0.830205543817795	0.736682299348643	0.635046108094297	0.653437938828972	0.62970123372325	0.768271750798821	0.405033260514923	0.405033260514923
RCC2	483	2	0.010351966873706	479	2	2	0.32577063340521	0.32577063340521	0.32577063340521	0.459642608482414	0.459642608482414	0.459642608482414	0.459642608482414	0.459642608482414	0.459642608482414	0.540045770183744	0.245319300708008	0.245319300708008
ARHGEF10L	483	1	0.0020703933747412	479	1	1	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918	0.710664226479918
ACTL8	483	1	0.0082815734989648	479	1	1	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829	0.787203061252829
IGSF21	483	1	0.0020703933747412	479	1	1	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875	0.816396668914875
TAS1R2	483	4	0.0025879917184265	479	4	4	0.584599045458205	0.584599045458205	0.584599045458205	0.342656144566606	0.350044268809613	0.342656144566606	0.367736409549121	0.519898598929051	0.367736409549121	0.269100965043642	0.547728216540215	0.269100965043642
ALDH4A1	483	1	0.0124223602484472	479	1	1	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343	0.738734816985343
EMC1	483	2	0.0590062111801242	479	2	2	0.0738751234991784	0.0738751234991784	0.0738751234991784	0.214825560971862	0.214825560971862	0.214825560971862	0.0738751234991784	0.0738751234991784	0.0738751234991784	0.0906841428397735	0.0210462685383383	0.0210462685383383
AKR7L	483	1	0.05175983436853	479	NA	NA	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266	0.115523210237266
PQLC2	483	1	0.0745341614906832	479	1	1	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086	0.212252255462086
TMCO4	483	7	0.0706891452233067	479	6	6	0.150873053404454	0.150873053404454	0.154439485894826	0.548158559629141	0.482531702072352	0.548158559629141	0.362210779337943	0.280803668022405	0.362210779337943	0.594361042264406	0.179050698574473	0.150873053404454
RNF186	483	3	0.152518978605935	479	1	1	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.209088195442156	0.208652737278075	0.208652737278075	0.208652737278075
OTUD3	483	1	0.031055900621118	479	1	1	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334	0.659810210891334
PLA2G2E	483	1	0.0062111801242236	479	1	1	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511	0.677965932597511
PLA2G2D	483	2	0.0113871635610766	479	2	2	0.358910039748837	0.817627739818217	0.358910039748837	0.154903560547077	0.154903560547077	0.154903560547077	0.1979570250383	0.1979570250383	0.1979570250383	0.137160633477565	0.33990694626357	0.137160633477565
PLA2G2F	483	1	0.0248447204968944	479	1	1	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715	0.245935669060715
PLA2G2C	483	1	0.0372670807453416	479	NA	NA	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683	0.0202426948051683
UBXN10	483	1	0.0020703933747412	479	1	1	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545	0.137018550877545
VWA5B1	483	3	0.0255348516218081	479	3	3	0.412308228702821	0.412308228702821	0.412308228702821	0.694145602879845	0.694145602879845	0.694145602879845	0.694145602879845	0.694145602879845	0.694145602879845	0.606036328798694	0.654956316911053	0.412308228702821
PINK1	483	3	0.0082815734989648	479	3	3	0.423589952191259	0.423589952191259	0.423589952191259	0.470604540590917	0.470604540590917	0.470604540590917	0.634287037429048	0.634287037429048	0.634287037429048	0.514606032918766	0.638339943209545	0.423589952191259
DDOST	483	1	0.0124223602484472	479	1	1	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153	0.179550639527153
KIF17	483	5	0.0062111801242236	479	4	5	0.840479713114746	0.902018966438236	0.840479713114746	0.878776487116424	0.878776487116424	0.878776487116424	0.94067213947342	0.968254272035315	0.94067213947342	0.805296458399547	0.782292645392864	0.782292645392864
ECE1	483	1	0.0165631469979296	479	1	1	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447	0.682500400021447
NBPF3	483	2	0.0848861283643892	479	2	2	0.291591757673088	0.626641963645709	0.291587786915118	0.291587786912142	0.580098881120394	0.291587786915118	0.291585620104889	0.746620325643355	0.291584611810068	0.620186349730583	0.620186349730583	0.291584611810068
ALPL	483	2	0.0124223602484472	479	2	2	0.164471288843308	0.164471288843308	0.164471288843308	0.418348508901181	0.418348508901181	0.418348508901181	0.236935561189346	0.236935561189346	0.236935561189346	0.383631297377224	0.150552665073518	0.150552665073518
RAP1GAP	483	1	0.0186335403726708	479	1	1	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363	0.722951269412363
USP48	483	1	0.0186335403726708	479	1	1	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348	0.714078109515348
