set	n_cases_init	n_vars_init	missed_genotypes_fraction_init	n_cases_retained	p_val	n_vars_total	n_vars_tested	ma_count	n_cases_with_ma	method_for_p_assessment	rare_vars_tested	common_vars_tested	cutoff
EXOSC10	483	1	0.0041407867494824	479	0.682500400021447	1	NA	1	1	ER	NA	NA	NA
ANGPTL7	483	1	0.153209109730849	479	0.799815281511992	1	NA	3	3	ER	NA	NA	NA
PTCHD2	483	1	0.062111801242236	479	0.0436670233144398	1	NA	9	8	ER	NA	NA	NA
AGTRAP	483	1	0.17184265010352	479	0.721143763061465	1	NA	1	1	ER	NA	NA	NA
MTHFR	483	3	0.010351966873706	479	0.441246226807559	3	3	334	278	MA	NA	NA	NA
CLCN6	483	2	0.0124223602484472	479	0.309215880582926	2	2	2	2	ER	NA	NA	NA
NPPA	483	2	0.0093167701863354	479	0.0390402400221588	2	2	142	124	MA	NA	NA	NA
NPPB	483	1	0.0041407867494824	479	0.161951045060054	1	NA	1	1	ER	NA	NA	NA
PLOD1	483	1	0	479	0.0908266177187858	1	NA	2	2	ER	NA	NA	NA
MFN2	483	2	0.0010351966873706	479	0.0915526835339328	2	2	2	2	ER	NA	NA	NA
TNFRSF8	483	1	0.0020703933747412	479	0.0493745023996192	NA	NA	21	21	Firth	NA	NA	NA
DHRS3	483	1	0	479	0.665633157471842	1	NA	1	1	ER	NA	NA	NA
AADACL4	483	2	0.0031055900621118	479	0.804855979912851	2	2	2	2	ER	NA	NA	NA
AADACL3	483	1	0.0393374741200828	479	0.350741001980485	NA	NA	56	55	Firth	NA	NA	NA
C1orf158	483	2	0.0020703933747412	479	0.455136764234659	2	2	14	14	ER	NA	NA	NA
PRAMEF12	483	3	0.0110420979986197	479	0.0848707132604567	3	3	9	9	ER	NA	NA	NA
PRAMEF2	483	1	0.0124223602484472	479	0.209632188304435	1	NA	1	1	ER	NA	NA	NA
PRDM2	483	2	0.010351966873706	479	0.229217661137143	2	2	8	4	ER	NA	NA	NA
TMEM51	483	1	0.0041407867494824	479	0.724541769317505	1	NA	1	1	ER	NA	NA	NA
FHAD1	483	7	0.0124223602484472	479	0.785861042820355	7	7	8	8	ER	NA	NA	NA
CTRC	483	1	0.0062111801242236	479	0.747900632321101	1	NA	2	2	ER	NA	NA	NA
CELA2A	483	1	0.0062111801242236	479	0.413370443265968	1	NA	3	3	ER	NA	NA	NA
CASP9	483	1	0.0579710144927536	479	0.476132129766433	1	NA	4	4	ER	NA	NA	NA
DNAJC16	483	2	0.0062111801242236	479	0.811802475750342	2	2	2	2	ER	NA	NA	NA
AGMAT	483	3	0.00966183574879227	479	0.927717973576227	3	3	3	3	ER	NA	NA	NA
DDI2	483	1	0.0269151138716356	479	0.225580312654621	1	NA	1	1	ER	NA	NA	NA
TMEM82	483	1	0.0331262939958592	479	0.23000012597197	1	NA	1	1	ER	NA	NA	NA
FBLIM1	483	1	0.182194616977226	479	0.213790923405187	1	NA	1	1	ER	NA	NA	NA
CLCNKA	483	2	0.0590062111801242	479	0.574964854576568	2	2	2	2	ER	NA	NA	NA
CLCNKB	483	1	0.0041407867494824	479	0.32341442126772	1	NA	13	13	ER	NA	NA	NA
EPHA2	483	3	0.0372670807453416	479	0.394574200102339	3	3	3	3	ER	NA	NA	NA
FBXO42	483	1	0.0062111801242236	479	0.7337468253857	1	NA	1	1	ER	NA	NA	NA
SPATA21	483	1	0.072463768115942	479	0.234215015833218	1	NA	1	1	ER	NA	NA	NA
MFAP2	483	1	0.0020703933747412	479	0.677010564350301	1	NA	1	1	ER	NA	NA	NA
SDHB	483	2	0.005175983436853	479	0.647077867876821	2	2	12	11	ER	NA	NA	NA
PADI2	483	5	0.0198757763975155	479	0.328244936470471	5	5	11	11	ER	NA	NA	NA
PADI1	483	2	0.0082815734989648	479	0.574628414802552	2	2	2	2	ER	NA	NA	NA
PADI3	483	5	0.0550724637681159	479	0.24442960805175	5	5	58	54	MA	NA	NA	NA
PADI4	483	7	0.023365868086365	479	0.653437938828972	7	7	9	9	ER	NA	NA	NA
RCC2	483	2	0.010351966873706	479	0.459642608482414	2	2	2	2	ER	NA	NA	NA
ARHGEF10L	483	1	0.0020703933747412	479	0.710664226479918	1	NA	1	1	ER	NA	NA	NA
ACTL8	483	1	0.0082815734989648	479	0.787203061252829	1	NA	3	3	ER	NA	NA	NA
IGSF21	483	1	0.0020703933747412	479	0.816396668914875	1	NA	4	4	ER	NA	NA	NA
TAS1R2	483	4	0.0025879917184265	479	0.519898598929051	4	4	5	5	ER	NA	NA	NA
ALDH4A1	483	1	0.0124223602484472	479	0.738734816985343	1	NA	1	1	ER	NA	NA	NA
EMC1	483	2	0.0590062111801242	479	0.0738751234991784	2	2	2	2	ER	NA	NA	NA
AKR7L	483	1	0.05175983436853	479	0.115523210237266	NA	NA	31	30	Firth	NA	NA	NA
PQLC2	483	1	0.0745341614906832	479	0.212252255462086	1	NA	1	1	ER	NA	NA	NA
TMCO4	483	7	0.0706891452233067	479	0.280803668022405	7	6	7	7	ER	NA	NA	NA
RNF186	483	3	0.152518978605935	479	0.209088195442156	3	1	1	1	ER	NA	NA	NA
OTUD3	483	1	0.031055900621118	479	0.659810210891334	1	NA	1	1	ER	NA	NA	NA
PLA2G2E	483	1	0.0062111801242236	479	0.677965932597511	1	NA	1	1	ER	NA	NA	NA
PLA2G2D	483	2	0.0113871635610766	479	0.1979570250383	2	2	12	12	ER	NA	NA	NA
PLA2G2F	483	1	0.0248447204968944	479	0.245935669060715	1	NA	1	1	ER	NA	NA	NA
PLA2G2C	483	1	0.0372670807453416	479	0.0202426948051683	NA	NA	148	137	Firth	NA	NA	NA
UBXN10	483	1	0.0020703933747412	479	0.137018550877545	1	NA	1	1	ER	NA	NA	NA
VWA5B1	483	3	0.0255348516218081	479	0.694145602879845	3	3	3	3	ER	NA	NA	NA
PINK1	483	3	0.0082815734989648	479	0.634287037429048	3	3	3	3	ER	NA	NA	NA
DDOST	483	1	0.0124223602484472	479	0.179550639527153	1	NA	3	3	ER	NA	NA	NA
KIF17	483	5	0.0062111801242236	479	0.968254272035315	5	4	7	7	ER	NA	NA	NA
ECE1	483	1	0.0165631469979296	479	0.682500400021447	1	NA	1	1	ER	NA	NA	NA
NBPF3	483	2	0.0848861283643892	479	0.746620325643355	2	2	440	346	MA	NA	NA	NA
ALPL	483	2	0.0124223602484472	479	0.236935561189346	2	2	3	3	ER	NA	NA	NA
RAP1GAP	483	1	0.0186335403726708	479	0.722951269412363	1	NA	1	1	ER	NA	NA	NA
USP48	483	1	0.0186335403726708	479	0.714078109515348	1	NA	1	1	ER	NA	NA	NA
LDLRAD2	483	1	0.0973084886128364	479	0.237599294575233	1	NA	1	1	ER	NA	NA	NA
HSPG2	483	1	0.0124223602484472	479	0.734112930858355	1	NA	1	1	ER	NA	NA	NA
CELA3B	483	1	0.020703933747412	479	0.143761730938396	1	NA	1	1	ER	NA	NA	NA
ZBTB40	483	1	0.0062111801242236	479	1	0	0	NA	NA	NA	NA	NA	NA
EPHA8	483	1	0.122153209109731	479	0.351928250729052	1	NA	2	2	ER	NA	NA	NA
C1QA	483	1	0.0124223602484472	479	0.233404729274095	1	NA	1	1	ER	NA	NA	NA
C1QB	483	2	0.0031055900621118	479	0.635085096706937	2	2	2	2	ER	NA	NA	NA
EPHB2	483	2	0.0600414078674948	479	0.00466804646628151	2	2	6	6	ER	NA	NA	NA
KDM1A	483	1	0.0848861283643892	479	0.221744630472225	1	NA	1	1	ER	NA	NA	NA
LUZP1	483	2	0.020703933747412	479	0.0897440523781034	2	2	2	2	ER	NA	NA	NA
ASAP3	483	3	0.0151828847481021	479	0.0333056004169968	3	2	3	3	ER	NA	NA	NA
TCEB3	483	1	0.0041407867494824	479	0.72157523003982	1	NA	1	1	ER	NA	NA	NA
CNR2	483	1	0.0124223602484472	479	0.222213748124594	1	NA	1	1	ER	NA	NA	NA
MYOM3	483	3	0.0269151138716356	479	0.70741970680851	3	3	4	4	ER	NA	NA	NA
GRHL3	483	2	0.0082815734989648	479	0.171634940991185	2	2	30	29	ER.A	NA	NA	NA
STPG1	483	1	0.020703933747412	479	0.249112191927918	1	NA	1	1	ER	NA	NA	NA
RCAN3	483	1	0.05175983436853	479	0.748225374833007	1	NA	2	2	ER	NA	NA	NA
C1orf63	483	2	0.067287784679089	479	0.920499654694644	2	2	9	9	ER	NA	NA	NA
TMEM57	483	1	0.0786749482401656	479	0.233184653928927	1	NA	1	1	ER	NA	NA	NA
LDLRAP1	483	2	0.0486542443064182	479	0.866611036510111	2	2	2	2	ER	NA	NA	NA
SEPN1	483	1	0	479	0.745913947315269	1	NA	2	2	ER	NA	NA	NA
AUNIP	483	2	0.0124223602484472	479	0.703166817449882	2	2	2	1	ER	NA	NA	NA
PAQR7	483	1	0.0124223602484472	479	0.785401796439622	1	NA	3	3	ER	NA	NA	NA
PAFAH2	483	4	0.015527950310559	479	0.0364537069671877	4	4	7	7	ER	NA	NA	NA
EXTL1	483	2	0.0186335403726708	479	0.266928883347681	2	2	3	3	ER	NA	NA	NA
SLC30A2	483	1	0.0062111801242236	479	0.237894763082943	1	NA	1	1	ER	NA	NA	NA
TRIM63	483	2	0.0196687370600414	479	0.879041633826879	2	2	4	4	ER	NA	NA	NA
PDIK1L	483	1	0.010351966873706	479	0.230321863413147	1	NA	1	1	ER	NA	NA	NA
CNKSR1	483	2	0.010351966873706	479	0.407790759876058	2	2	40	38	ER.A	NA	NA	NA
CATSPER4	483	4	0.0274327122153209	479	0.209883961764209	4	4	4	4	ER	NA	NA	NA
UBXN11	483	2	0.0538302277432712	479	0.497204717154968	2	2	8	8	ER	NA	NA	NA
AIM1L	483	3	0.044168391994479	479	0.869457128421301	3	3	6	6	ER	NA	NA	NA
DHDDS	483	1	0.0041407867494824	479	0.210608687081049	1	NA	1	1	ER	NA	NA	NA
RPS6KA1	483	1	0.0496894409937888	479	0.161951045060054	1	NA	1	1	ER	NA	NA	NA
PIGV	483	3	0.00138026224982747	479	0.475369842849662	3	3	4	4	ER	NA	NA	NA
GPATCH3	483	1	0.0041407867494824	479	0.713036292128939	1	NA	1	1	ER	NA	NA	NA
SLC9A1	483	1	0.010351966873706	479	0.192445172632365	1	NA	1	1	ER	NA	NA	NA
TMEM222	483	1	0.0041407867494824	479	0.208714136282087	1	NA	1	1	ER	NA	NA	NA
FCN3	483	2	0.0683229813664596	479	0.0323459381906349	2	2	9	9	ER	NA	NA	NA
GPR3	483	1	0.0662525879917184	479	0.697618197794851	1	NA	1	1	ER	NA	NA	NA
FAM76A	483	1	0.0020703933747412	479	0.204585579066257	1	NA	1	1	ER	NA	NA	NA
THEMIS2	483	1	0.0020703933747412	479	0.242059679926095	1	NA	1	1	ER	NA	NA	NA
SMPDL3B	483	1	0.165631469979296	479	0.744364961940632	1	NA	2	2	ER	NA	NA	NA
PTAFR	483	1	0.0082815734989648	479	0.780303434236765	1	NA	3	3	ER	NA	NA	NA
SESN2	483	1	0.0786749482401656	479	0.199499852914824	1	NA	1	1	ER	NA	NA	NA
MED18	483	2	0.036231884057971	479	0.562876678988479	2	2	2	2	ER	NA	NA	NA
PHACTR4	483	2	0.0424430641821946	479	0.866550845137784	2	2	3	3	ER	NA	NA	NA
TRNAU1AP	483	2	0.0041407867494824	479	0.84599073853538	2	2	3	3	ER	NA	NA	NA
GMEB1	483	2	0.0093167701863354	479	0.383027963155291	2	2	5	5	ER	NA	NA	NA
EPB41	483	7	0.00443655723158829	479	0.398867846363864	7	7	17	15	ER	NA	NA	NA
LAPTM5	483	1	0.0041407867494824	479	0.480472413289774	1	NA	4	4	ER	NA	NA	NA
SDC3	483	2	0.0082815734989648	479	0.0338646318820628	2	2	15	13	ER	NA	NA	NA
PUM1	483	1	0.0269151138716356	479	0.641563165338066	1	NA	1	1	ER	NA	NA	NA
SERINC2	483	1	0.072463768115942	479	0.734896229131958	1	NA	1	1	ER	NA	NA	NA
TINAGL1	483	1	0.0020703933747412	479	0.219992060989233	1	NA	1	1	ER	NA	NA	NA
PEF1	483	1	0.140786749482402	479	0.713036292128939	1	NA	1	1	ER	NA	NA	NA
BAI2	483	2	0.0559006211180124	479	0.465169961589224	2	2	2	2	ER	NA	NA	NA
SPOCD1	483	2	0.0548654244306418	479	0.56817029594428	2	2	2	2	ER	NA	NA	NA
TXLNA	483	1	0.0476190476190476	479	0.728305734326347	1	NA	1	1	ER	NA	NA	NA
IQCC	483	2	0.0072463768115942	479	0.225125912087968	2	2	2	2	ER	NA	NA	NA
DCDC2B	483	4	0.0357142857142857	479	0.372369166627711	4	4	21	18	ER.A	NA	NA	NA
HDAC1	483	1	0.0041407867494824	479	0.693471078382635	1	NA	1	1	ER	NA	NA	NA
TSSK3	483	1	0.0041407867494824	479	0.198003225405028	1	NA	1	1	ER	NA	NA	NA
ZBTB8B	483	1	0.0041407867494824	479	0.68972640044785	1	NA	1	1	ER	NA	NA	NA
SYNC	483	3	0.00897170462387854	479	0.251435594487423	3	3	37	37	ER.A	NA	NA	NA
TMEM54	483	2	0.0445134575569358	479	0.822628240173947	2	2	2	2	ER	NA	NA	NA
RNF19B	483	1	0.0372670807453416	479	0.242945285345673	1	NA	1	1	ER	NA	NA	NA
ADC	483	1	0.0041407867494824	479	0.705661180243411	1	NA	1	1	ER	NA	NA	NA
A3GALT2	483	2	0.0383022774327122	479	0.257070387545017	2	2	25	25	ER.A	NA	NA	NA
ZSCAN20	483	1	0.010351966873706	479	0.73809656250939	1	NA	1	1	ER	NA	NA	NA
CSMD2	483	2	0.0289855072463768	479	0.537119772691081	2	2	7	7	ER	NA	NA	NA
HMGB4	483	2	0.0807453416149068	479	0.466829569921783	2	2	7	7	ER	NA	NA	NA
C1orf94	483	2	0.0859213250517598	479	0.0523658953058841	2	2	4	4	ER	NA	NA	NA
GJB5	483	1	0.0393374741200828	479	0.213744807194596	1	NA	2	1	ER	NA	NA	NA
GJB4	483	4	0.0108695652173913	479	1	4	4	87	85	MA	NA	NA	NA
GJB3	483	2	0.0165631469979296	479	0.604674243190675	2	2	30	30	ER.A	NA	NA	NA
KIAA0319L	483	1	0.0351966873706004	479	0.739791436401339	1	NA	2	2	ER	NA	NA	NA
TFAP2E	483	2	0.0144927536231884	479	0.104048946175462	2	2	5	5	ER	NA	NA	NA
C1orf216	483	1	0.130434782608696	479	0.733381605286996	1	NA	1	1	ER	NA	NA	NA
TEKT2	483	1	0	479	0.734896229131958	1	NA	1	1	ER	NA	NA	NA
SH3D21	483	3	0.0062111801242236	479	0.904533860996908	3	3	3	3	ER	NA	NA	NA
LSM10	483	1	0.0020703933747412	479	0.22043311342298	1	NA	1	1	ER	NA	NA	NA
MRPS15	483	2	0.0113871635610766	479	0.865689174300332	2	2	3	3	ER	NA	NA	NA
CSF3R	483	1	0	479	0.338523077370526	1	NA	2	2	ER	NA	NA	NA
GRIK3	483	1	0.132505175983437	479	0.729324385826771	1	NA	1	1	ER	NA	NA	NA
DNALI1	483	1	0.0124223602484472	479	0.727274924451032	1	NA	1	1	ER	NA	NA	NA
GNL2	483	1	0.0041407867494824	479	0.23222846973664	1	NA	1	1	ER	NA	NA	NA
EPHA10	483	2	0.0062111801242236	479	0.826002550172603	2	2	2	2	ER	NA	NA	NA
MANEAL	483	1	0.0020703933747412	479	0.157251763412463	1	NA	1	1	ER	NA	NA	NA
YRDC	483	1	0.0082815734989648	479	0.421756621518049	1	NA	3	3	ER	NA	NA	NA
INPP5B	483	2	0.098343685300207	479	0.675834439811846	2	1	139	130	MA	NA	NA	NA
FHL3	483	2	0.0238095238095238	479	0.170890507777184	2	2	5	5	ER	NA	NA	NA
UTP11L	483	2	0.0124223602484472	479	0.449972539323067	2	2	10	10	ER	NA	NA	NA
GJA9	483	1	0.0331262939958592	479	0.797389635075956	1	NA	3	3	ER	NA	NA	NA
RHBDL2	483	1	0.134575569358178	479	0.234606473773983	1	NA	1	1	ER	NA	NA	NA
HEYL	483	1	0.0041407867494824	479	0.727111455705236	1	NA	1	1	ER	NA	NA	NA
NT5C1A	483	2	0.0072463768115942	479	0.490003319435062	2	2	2	2	ER	NA	NA	NA
BMP8B	483	1	0.0683229813664596	479	0.674402822132352	1	NA	13	13	ER	NA	NA	NA
TRIT1	483	3	0.0303657694962043	479	0.89458523191239	3	2	5	5	ER	NA	NA	NA
MFSD2A	483	1	0.0455486542443064	479	0.663790303453814	1	NA	1	1	ER	NA	NA	NA
PPT1	483	1	0.0020703933747412	479	0.663814752385127	1	NA	1	1	ER	NA	NA	NA
RLF	483	3	0.0255348516218081	479	0.197727630090791	3	3	32	32	ER.A	NA	NA	NA
COL9A2	483	2	0.0082815734989648	479	0.101046069325487	2	2	2	2	ER	NA	NA	NA
ZFP69B	483	1	0.0062111801242236	479	0.723999918390351	1	NA	1	1	ER	NA	NA	NA
ZFP69	483	3	0.0324361628709455	479	0.723911663823679	3	3	5	5	ER	NA	NA	NA
EXO5	483	3	0.0179434092477571	479	0.180218242395165	3	3	77	73	MA	NA	NA	NA
ZNF684	483	2	0.0186335403726708	479	0.51749183473152	2	2	4	4	ER	NA	NA	NA
HIVEP3	483	2	0.0921325051759834	479	0.859634925926925	2	2	2	2	ER	NA	NA	NA
GUCA2B	483	1	0.0041407867494824	479	0.22724925414105	1	NA	1	1	ER	NA	NA	NA
GUCA2A	483	3	0.0213940648723257	479	0.0418463676738064	3	3	5	5	ER	NA	NA	NA
PPIH	483	1	0.0165631469979296	479	0.215387112445676	1	NA	1	1	ER	NA	NA	NA
LEPRE1	483	3	0.00138026224982747	479	0.539078650735051	3	3	50	49	MA	NA	NA	NA
C1orf50	483	1	0.0331262939958592	479	0.157251763412463	1	NA	1	1	ER	NA	NA	NA
ERMAP	483	1	0.0041407867494824	479	0.336523769155238	1	NA	2	2	ER	NA	NA	NA
ZNF691	483	1	0.0020703933747412	479	0.0791096779054003	1	NA	2	2	ER	NA	NA	NA
SLC2A1	483	1	0.0020703933747412	479	0.687287546806823	1	NA	1	1	ER	NA	NA	NA
FAM183A	483	2	0.0062111801242236	479	0.840017758839656	2	2	2	2	ER	NA	NA	NA
EBNA1BP2	483	1	0.0683229813664596	479	0.106140801943386	1	NA	12	12	ER	NA	NA	NA
WDR65	483	2	0.0238095238095238	479	0.827193640749532	2	2	3	3	ER	NA	NA	NA
TIE1	483	2	0.0496894409937888	479	0.381944294942339	2	2	3	3	ER	NA	NA	NA
MPL	483	5	0.00165631469979296	479	0.448530314673355	5	5	6	6	ER	NA	NA	NA
SZT2	483	4	0.0212215320910973	479	0.415727713681138	4	4	11	11	ER	NA	NA	NA
PTPRF	483	1	0.0041407867494824	479	0.233184653928927	1	NA	1	1	ER	NA	NA	NA
KDM4A	483	2	0.0165631469979296	479	0.0794278053423403	2	2	4	4	ER	NA	NA	NA
DPH2	483	2	0.0331262939958592	479	0.844456802921315	2	2	2	2	ER	NA	NA	NA
KLF17	483	1	0.0020703933747412	479	0.756418186027151	1	NA	2	2	ER	NA	NA	NA
DMAP1	483	1	0.010351966873706	479	0.7337468253857	1	NA	1	1	ER	NA	NA	NA
RNF220	483	1	0.0579710144927536	479	0.120174356001054	1	NA	2	2	ER	NA	NA	NA
TMEM53	483	1	0.010351966873706	479	0.717930526004109	1	NA	1	1	ER	NA	NA	NA
C1orf228	483	2	0.0082815734989648	479	0.0753275405801192	2	2	8	8	ER	NA	NA	NA
KIF2C	483	1	0.0144927536231884	479	0.167756826866678	1	NA	3	3	ER	NA	NA	NA
BEST4	483	1	0.0786749482401656	479	0.242059679926095	1	NA	1	1	ER	NA	NA	NA
PLK3	483	1	0.010351966873706	479	0.744023834126113	1	NA	1	1	ER	NA	NA	NA
PTCH2	483	4	0.0626293995859213	479	0.904181770176341	4	3	3	3	ER	NA	NA	NA
EIF2B3	483	1	0	479	0.220270443656783	1	NA	1	1	ER	NA	NA	NA
HPDL	483	1	0.0020703933747412	479	0.710469661536826	1	NA	1	1	ER	NA	NA	NA
MUTYH	483	4	0.0243271221532091	479	0.814416127853572	4	4	7	7	ER	NA	NA	NA
TOE1	483	1	0.0020703933747412	479	0.730174987411484	1	NA	1	1	ER	NA	NA	NA
AKR1A1	483	3	0.0296756383712905	479	0.546934224497189	3	3	4	4	ER	NA	NA	NA
CCDC17	483	1	0.0165631469979296	479	0.125999472168177	1	NA	5	5	ER	NA	NA	NA
GPBP1L1	483	3	0.0110420979986197	479	0.0410222969113343	3	3	3	3	ER	NA	NA	NA
IPP	483	4	0.0372670807453416	479	0.803175020326123	4	4	5	5	ER	NA	NA	NA
PIK3R3	483	1	0.0786749482401656	479	0.704073874686191	1	NA	1	1	ER	NA	NA	NA
POMGNT1	483	3	0.0020703933747412	479	0.0230426142836973	3	3	12	12	ER	NA	NA	NA
RAD54L	483	4	0.0046583850931677	479	0.787597561909492	4	4	7	7	ER	NA	NA	NA
NSUN4	483	3	0.00690131124913734	479	0.657745766505046	3	3	3	3	ER	NA	NA	NA
FAAH	483	2	0.0113871635610766	479	0.69375857470983	2	2	204	182	MA	NA	NA	NA
MKNK1	483	1	0.0062111801242236	479	0.671296695421465	1	NA	1	1	ER	NA	NA	NA
MOB3C	483	1	0.0393374741200828	479	0.877298406771886	NA	NA	458	347	Firth	NA	NA	NA
EFCAB14	483	1	0.0227743271221532	479	0.245228860621393	1	NA	1	1	ER	NA	NA	NA
CYP4B1	483	1	0.0351966873706004	479	0.663814752385127	1	NA	1	1	ER	NA	NA	NA
CYP4X1	483	1	0.0600414078674948	479	0.221340934114364	1	NA	1	1	ER	NA	NA	NA
CYP4Z1	483	1	0.118012422360248	479	0.703018344426035	1	NA	1	1	ER	NA	NA	NA
PDZK1IP1	483	2	0.0424430641821946	479	0.159398225016598	2	2	4	3	ER	NA	NA	NA
STIL	483	2	0.0041407867494824	479	0.520219613708272	2	2	4	4	ER	NA	NA	NA
SLC5A9	483	4	0.010351966873706	479	0.0374367737668124	4	4	8	8	ER	NA	NA	NA
SPATA6	483	5	0.0923395445134576	479	0.383083939505976	5	4	19	19	ER	NA	NA	NA
C1orf185	483	1	0.0910973084886128	479	0.802937722809131	1	NA	3	3	ER	NA	NA	NA
EPS15	483	1	0.0703933747412008	479	0.709079132161938	1	NA	1	1	ER	NA	NA	NA
RAB3B	483	1	0.082815734989648	479	0.719201504263692	1	NA	1	1	ER	NA	NA	NA
ZFYVE9	483	2	0.010351966873706	479	0.534124186244579	2	2	2	2	ER	NA	NA	NA
CC2D1B	483	4	0.0460662525879917	479	0.0897709076827265	4	3	3	2	ER	NA	NA	NA
ORC1	483	3	0.00138026224982747	479	0.174343174889397	3	3	3	3	ER	NA	NA	NA
ZCCHC11	483	1	0.0393374741200828	479	0.714117699777011	1	NA	1	1	ER	NA	NA	NA
COA7	483	1	0.0538302277432712	479	0.698308451492246	1	NA	1	1	ER	NA	NA	NA
