Gene	M	P.SKAT
175	ABCA4	2	0.203
176	ATP6V0A4	2	0.204
177	CIR1	2	0.205
178	SERPINI2	3	0.205
179	C5orf42	3	0.205
180	CTBP2	2	0.205
181	FMO5	2	0.207
182	IMPG1	2	0.207
183	CRTAM	2	0.207
184	DOCK9	2	0.207
185	PSG6	2	0.207
186	EPHA10	2	0.208
187	TRAV35	2	0.208
188	FCRL3	4	0.209
189	OR8I2	2	0.209
190	DNASE1	2	0.21
191	IGLV4-69	2	0.21
192	ZNF233	3	0.211
193	DDX60	2	0.212
194	GK5	2	0.213
195	CCDC41	2	0.213
196	USP38	2	0.214
197	GSG2	2	0.214
198	TSPAN16	2	0.217
199	PIK3R6	3	0.219
200	NOC3L	2	0.22
201	STARD9	5	0.221
202	PLIN4	2	0.221
203	GRHPR	2	0.223
204	MMP21	2	0.223
205	NLRP8	2	0.223
206	FAT2	2	0.224
207	TRPA1	2	0.224
208	LAMA3	2	0.225
209	C2orf40	2	0.226
210	ANO7	2	0.226
211	G6PC3	2	0.226
212	TMEM181	2	0.227
213	FOLR4	2	0.227
214	TMEM131	2	0.228
215	C12orf60	2	0.229
216	ZNF443	2	0.229
217	COL4A3	2	0.23
218	LRTM1	2	0.23
219	PHYHD1	2	0.23
220	CEACAM8	2	0.23
221	TMC4	2	0.23
222	ZNF765	2	0.231
223	TMEM99	2	0.232
224	CEP104	2	0.233
225	SELP	3	0.233
226	CAPN12	2	0.233
227	PRSS36	2	0.234
228	RAB19	2	0.236
229	HTRA4	2	0.236
230	CLEC4E	2	0.236
231	COL7A1	3	0.237
232	ERV3-1	3	0.237
233	C10ORF68	4	0.238
234	DUOXA2	2	0.238
235	PALB2	3	0.238
236	KIAA0556	2	0.24
237	ENOSF1	2	0.24
238	GALK2	2	0.241
239	PHKB	3	0.241
240	MAP10	2	0.243
241	DNAH3	2	0.243
242	SLCO1B3	2	0.244
243	PPM1D	2	0.244
244	TIGD6	2	0.245
245	TGM6	2	0.246
246	MIB1	2	0.248
247	MICB	2	0.249
248	TRAV19	2	0.249
249	GBP5	2	0.252
250	FAM129A	2	0.252
251	DCP1B	2	0.252
252	CASQ1	2	0.253
253	ADPRH	2	0.253
254	UNC93B1	2	0.253
255	WDR16	2	0.254
256	C17orf80	3	0.255
257	NCAPD2	2	0.256
258	ALS2CR12	2	0.257
259	CCHCR1	3	0.257
260	C2orf76	2	0.258
261	TAAR9	2	0.259
262	TP53AIP1	2	0.261
263	WDR3	3	0.264
264	C3orf55	3	0.264
265	MKI67	2	0.264
266	MSR1	4	0.27
267	CYP4F12	2	0.27
268	BTNL9	2	0.272
269	MUCL1	2	0.274
270	IGLV4-60	2	0.278
271	ARHGAP15	3	0.279
272	DHFRL1	2	0.279
273	AC002472.13	2	0.279
274	NIM1K	2	0.28
275	IL7R	2	0.281
276	NPC1	2	0.281
277	ANKRD36	2	0.283
278	ABCC2	4	0.283
279	DCDC2B	2	0.285
280	CCDC7	3	0.285
281	OR5H6	2	0.286
282	PPEF2	2	0.287
283	CCDC146	2	0.287
284	MAGEC3	2	0.287
285	DNAH11	3	0.289
286	CHD1L	2	0.29
287	ZCCHC4	2	0.291
288	KATNA1	2	0.291
289	ZNF99	2	0.291
290	CARD6	3	0.293
291	PGC	3	0.295
292	TRIM55	2	0.296
293	PNLIPRP2	2	0.296
294	PON2	2	0.298
295	TTN	7	0.299
296	BOD1L1	2	0.3
297	RAD9B	2	0.302
298	TLR1	2	0.304
299	BTNL2	2	0.304
300	PRSS55	2	0.304
301	MUC16	2	0.305
302	FOLR3	2	0.306
303	GOSR1	2	0.308
304	GPR98	2	0.311
305	ZACN	2	0.313
306	LINC00692	2	0.315
307	MUC17	2	0.315
308	WDR64	2	0.318
309	ENO4	2	0.318
310	A2M	2	0.319
311	USH2A	3	0.321
312	ABCF1	2	0.322
313	ANKRD18B	2	0.322
314	RNASEL	2	0.323
315	SLC27A2	2	0.323
316	FAM47E-STBD1	2	0.324
317	WDR41	3	0.324
318	MOK	2	0.327
319	OR4M2	3	0.327
320	MYH8	2	0.328
321	PRIM2	2	0.329
322	USH1C	2	0.331
323	SZT2	2	0.334
324	SERPINB8	2	0.334
325	CD36	2	0.336
326	CAMK1	2	0.337
327	KIAA0141	3	0.337
328	HSD17B2	2	0.341
329	SHPK	3	0.341
330	ACOT4	3	0.343
331	AGBL1	4	0.343
332	DEFB132	2	0.343
333	CCDC148	2	0.344
334	SLC22A5	2	0.347
335	SIGLEC12	3	0.348
336	XRCC1	2	0.352
337	IL17RB	2	0.355
338	ITM2B	2	0.355
339	CAPG	2	0.356
340	TRMT10B	4	0.356
341	SLC26A10	3	0.357
342	HLA-DQB1	5	0.358
343	LRRIQ1	2	0.359
344	WDR27	6	0.36
345	FMO6P	2	0.362
346	IL12RB1	2	0.363
347	OR10J1	2	0.37
348	LAMA2	3	0.37
349	PDE11A	3	0.371
350	IL3RA	4	0.371
351	BRCA2	4	0.372
352	ZFYVE26	2	0.372
353	RERGL	2	0.374
354	ALKBH1	2	0.374
355	TIMM10B	2	0.377
356	EPSTI1	2	0.377
357	SLC4A3	3	0.378
358	SOX30	2	0.38
359	ADH1A	2	0.382
360	HSF2BP	2	0.382
361	P2RX6	3	0.382
362	SHC1	2	0.383
363	TMEM67	2	0.383
364	C9orf85	2	0.383
365	ZNF124	2	0.385
366	GLIS3	2	0.386
367	C4orf50	2	0.387
368	UNC93A	3	0.387
369	FAM188B	2	0.387
370	RNPEP	2	0.39
371	GCKR	3	0.39
372	UBQLNL	2	0.39
373	ALMS1	3	0.391
374	MTFR2	2	0.392
375	ERCC2	4	0.392
376	INADL	2	0.394
377	ECT2L	5	0.397
378	C17orf77	2	0.397
379	FAM198B	3	0.398
380	ACOT11	2	0.399
381	SERPINA3	2	0.399
382	PGAP1	2	0.401
383	ZNF419	2	0.402
384	CEP128	2	0.405
385	PRAMEF2	2	0.406
386	SGSH	2	0.406
387	ARSH	2	0.406
388	CCT6B	2	0.407
389	GPRIN1	2	0.408
390	HMCN2	2	0.408
391	NPHP4	2	0.41
392	IGLV3-22	3	0.41
393	CAPN8	2	0.412
394	OR10Q1	3	0.414
395	ZNF226	2	0.414
396	KLRF1	2	0.415
397	FAM228B	3	0.416
398	APOC3	2	0.416
399	SLC11A2	2	0.416
400	FAM187B	3	0.417
401	LILRA3	2	0.418
402	SERHL2	2	0.418
403	ZSWIM2	2	0.42
404	ABCC12	5	0.42
405	OR2W3	2	0.421
406	XRCC4	2	0.421
407	PYGL	2	0.422
408	PBXIP1	2	0.423
409	ZNF354B	2	0.423
410	TAS2R46	2	0.425
411	CCDC102B	2	0.425
412	LIPM	2	0.426
413	TNK1	2	0.427
414	ACAD11	2	0.428
415	CCNYL2	2	0.429
416	DNAH7	6	0.431
417	ERAP2	2	0.431
418	MPDZ	2	0.433
419	ZNF594	2	0.436
420	RAD51AP2	4	0.438
421	MUC20	2	0.44
422	GPRC5D	2	0.441
423	ABCC11	3	0.442
424	HHIPL2	4	0.443
425	GPR151	3	0.443
426	ZNF44	3	0.443
427	PRIMPOL	2	0.444
428	CPNE1	2	0.446
429	LRWD1	2	0.451
430	FAM160A1	3	0.453
431	CEACAM21	2	0.454
432	KRT33B	2	0.455
433	KIAA1551	2	0.457
434	ITFG3	2	0.459
435	NUDT17	2	0.46
436	C4orf21	2	0.461
437	TRPV4	2	0.463
438	GDPD4	2	0.464
439	NRIP2	2	0.464
440	CENPBD1	2	0.464
441	DTYMK	2	0.466
442	TRAPPC11	3	0.467
443	ERCC8	2	0.467
444	MAN2C1	2	0.467
445	MROH2B	6	0.469
446	ANKHD1	2	0.469
447	OR8J3	2	0.47
448	C14orf23	2	0.47
449	ZNF852	2	0.471
450	PLB1	4	0.473
451	COL6A5	4	0.473
452	LGALS12	3	0.473
453	KRT24	2	0.475
454	BST1	3	0.476
455	ZNF599	3	0.476
456	USP45	6	0.478
457	TRPM1	2	0.48
458	TMED3	2	0.483
459	FCHSD1	2	0.485
460	CYP3A5	2	0.487
461	NLRP9	2	0.487
462	CCR5	2	0.489
463	SCGN	2	0.49
464	USP15	3	0.49
465	PDIA2	4	0.491
466	GRAMD3	2	0.5
467	ASB15	5	0.501
468	PRDM2	3	0.503
469	POLR3F	3	0.503
470	CYP2D6	4	0.505
471	ENTPD8	2	0.507
472	WDR66	2	0.508
473	NQO1	2	0.51
474	HORMAD2	2	0.51
475	UIMC1	2	0.512
476	TAAR2	2	0.512
477	OXGR1	2	0.512
478	LGI2	2	0.513
479	ULBP1	2	0.513
480	ATM	8	0.513
481	C11orf40	4	0.514
482	PABPC3	2	0.519
483	FAM65A	2	0.521
484	CLTCL1	3	0.522
485	CROT	2	0.523
486	CBL	2	0.525
487	CAPN9	2	0.528
488	AGL	3	0.529
489	NUDT7	3	0.53
490	PLEKHA1	2	0.531
491	TMEM78	2	0.532
492	ZNF227	2	0.532
493	DHDH	4	0.532
494	FAM179A	5	0.534
495	SLC3A1	2	0.535
496	SLC43A1	2	0.535
497	MUC19	7	0.535
498	CEBPZ	2	0.537
499	MFSD10	2	0.538
500	TBX10	2	0.538
501	CATSPERB	2	0.538
502	TIGD4	2	0.541
503	HEATR6	2	0.544
504	RAD52	2	0.545
505	TRIOBP	2	0.545
506	MUC3A	3	0.549
507	SLC16A4	2	0.55
508	VSIG10L	2	0.55
509	DPYD	2	0.552
510	CAPN2	2	0.552
511	MICALCL	3	0.552
512	CPXM1	2	0.552
513	FLG	6	0.553
514	BPIFB3	2	0.554
515	C1orf94	2	0.555
516	C11orf21	2	0.555
517	ACSM1	2	0.555
518	C11orf63	2	0.557
519	SFXN4	2	0.559
520	RRP8	2	0.561
521	MNS1	2	0.561
522	ZNF615	2	0.561
523	OR2G6	2	0.563
524	LIG3	2	0.563
525	CNTLN	3	0.564
526	CDHR1	2	0.566
527	GAL3ST2	2	0.567
528	KIAA1841	2	0.568
529	FSIP1	3	0.568
530	MOGAT1	4	0.569
531	COL23A1	2	0.569
532	TBC1D31	2	0.571
533	CCDC108	3	0.573
534	HSD3B1	2	0.574
535	RAPGEF3	3	0.574
536	LTK	2	0.575
537	PAPLN	2	0.578
538	NPHP3	5	0.58
539	OTOGL	2	0.58
540	BRCA1	5	0.58
541	C16orf90	2	0.585
542	CEP112	2	0.586
543	TRIM46	2	0.587
544	COL17A1	3	0.588
545	MS4A14	3	0.588
546	ANKK1	2	0.588
547	ATP8B3	3	0.588
548	GRAMD1C	3	0.589
549	SFXN3	4	0.589
550	CHP2	2	0.589
551	ZAN	5	0.59
552	TEX15	5	0.59
553	MROH2A	3	0.591
554	LRIT1	2	0.591
555	BRWD1	2	0.591
556	RGL4	2	0.591
557	STK33	2	0.592
558	DNAH12	3	0.594
559	IGSF22	2	0.594
560	ZNF343	2	0.595
561	FCRL2	2	0.596
562	DNAJB7	2	0.596
563	IFIH1	4	0.598
564	ZNF845	2	0.598
565	APOL4	2	0.598
566	LIPT1	2	0.599
567	AC079354.1	2	0.6
568	MEOX2	2	0.6
569	PPP1R42	2	0.6
570	ITGAD	2	0.601
571	CMYA5	2	0.603
572	TTC40	2	0.606
573	EFCAB5	4	0.606
574	CARS2	2	0.608
575	MYO15B	2	0.608
576	NEDD4	4	0.609
577	SPTBN5	2	0.61
578	SLFN12L	2	0.611
579	FMO2	3	0.612
580	CEP78	2	0.612
581	ZNF563	2	0.612
582	BANK1	2	0.613
583	MTIF2	2	0.615
584	ATIC	2	0.615
585	DZIP3	2	0.615
586	KDELC2	2	0.616
587	C14orf166B	2	0.616
588	IL33	2	0.621
589	LRRC34	2	0.623
590	RP11-1396O13.13	2	0.624
591	WRN	3	0.624
592	DHRS9	2	0.625
593	SPATA4	3	0.625
594	ETV7	2	0.625
595	CXCR1	2	0.626
596	CNTRL	5	0.626
597	PRTFDC1	2	0.626
598	MLKL	3	0.626
599	FIG4	2	0.627
600	AGR3	2	0.627
601	PXMP2	3	0.627
602	UPB1	2	0.627
603	COL6A6	3	0.633
604	VWDE	3	0.633
605	MSS51	2	0.634
606	IFT81	2	0.635
607	ITPRIPL1	2	0.636
608	LILRB5	2	0.636
609	C15orf48	2	0.637
610	SERPINA10	2	0.638
611	ZNF812	2	0.642
612	CARD8	2	0.642
613	KIAA1919	2	0.644
614	DCXR	2	0.644
615	NEBL	2	0.646
616	IDO2	2	0.647
617	C14orf183	2	0.647
618	CYP4B1	2	0.648
619	CENPF	3	0.648
620	OR51F1	2	0.648
621	LRRC9	7	0.648
622	BRIP1	3	0.649
623	PITPNM3	2	0.651
624	CHEK2	2	0.651
625	FAM186A	4	0.652
626	MAP3K15	3	0.652
627	ANKRD35	3	0.653
628	PDE4DIP	4	0.654
629	PKD1L2	8	0.654
630	REXO4	2	0.656
631	SLC13A1	3	0.658
632	KIAA1614	2	0.659
633	UBXN11	2	0.66
634	PEX12	2	0.66
635	SYTL2	2	0.661
636	MROH8	2	0.661
637	SLC25A24	2	0.662
638	AP1G2	3	0.662
639	MUC7	2	0.665
640	PKD2L1	2	0.665
641	LAMB4	3	0.666
642	TCHH	2	0.667
643	ZNF266	2	0.667
644	ZNF776	2	0.667
645	IGLV3-16	2	0.668
646	HELB	2	0.669
647	RASEF	2	0.671
648	MYO7A	3	0.672
649	PKHD1L1	6	0.676
650	LMAN1L	2	0.678
651	SLTM	3	0.679
652	SUZ12	2	0.679
653	RIMS1	2	0.68
654	TRAP1	2	0.68
655	RNF175	3	0.682
656	C14orf105	3	0.683
657	P2RY4	2	0.683
658	GJB2	2	0.685
659	SIGLEC5	2	0.686
660	TMPRSS9	2	0.687
661	PIWIL3	2	0.688
662	ECHDC2	2	0.691
663	OR2M3	2	0.691
664	OR51G1	3	0.692
665	OR51I2	2	0.692
666	FASTKD1	3	0.694
667	CTC-490E21.13	2	0.694
668	ECD	2	0.695
669	DIXDC1	2	0.696
670	C2CD2	2	0.697
671	SYNM	2	0.698
672	MX1	2	0.698
673	PSTPIP1	2	0.699
674	SULT1C2	2	0.7
675	MRPL4	2	0.701
676	GPATCH4	2	0.703
677	RBKS	2	0.703
678	FBXW8	2	0.704
679	ZMYND15	2	0.704
680	CAPN14	2	0.705
681	LY75-CD302	3	0.705
682	ZNF596	3	0.705
683	MYH1	2	0.706
684	SPG7	3	0.708
685	HIVEP3	2	0.71
686	AHI1	2	0.71
687	CHRNA6	2	0.711
688	LIPJ	2	0.711
689	CCDC8	2	0.711
690	ZNF544	2	0.714
691	PCDHGA8	2	0.716
692	LAMB2	3	0.718
693	LPA	2	0.718
694	B3GALTL	2	0.722
695	ATP7B	2	0.722
696	GUCA1C	2	0.724
697	SPEF2	2	0.724
698	AC073343.1	2	0.726
699	EIF2AK4	2	0.727
700	PIK3C2G	3	0.732
701	EBLN2	2	0.734
702	DNAH8	3	0.734
703	IMPG2	3	0.735
704	ZNF729	3	0.737
705	AGAP6	2	0.738
706	SLC22A10	3	0.74
707	FHAD1	2	0.741
708	OR52I2	2	0.741
709	C18orf21	2	0.741
710	ZNF16	2	0.743
711	ABCA10	5	0.743
712	LARP1B	2	0.744
713	CD109	3	0.745
714	CASC5	2	0.745
715	OR7G3	2	0.747
716	GNLY	2	0.754
717	ANKRD30A	3	0.754
718	KCNJ16	2	0.754
719	MSH4	2	0.76
720	PLA1A	2	0.761
721	TRBV3-1	3	0.761
722	TPRN	2	0.764
723	SETD6	2	0.765
724	PTPRH	2	0.765
725	FAM117B	2	0.77
726	ZNF569	2	0.77
727	NUP214	2	0.771
728	ZNF844	3	0.771
729	PDE6A	2	0.773
730	ZNF83	2	0.773
731	MMP19	3	0.776
732	HNRNPA1L2	2	0.776
733	MCTP2	3	0.777
734	ACSM4	2	0.779
735	RNF32	3	0.781
736	GOLGA6L2	2	0.782
737	ASTE1	2	0.784
738	CAMSAP1	2	0.785
739	ZNF841	3	0.786
740	C2orf70	2	0.787
741	PSG9	3	0.787
742	TTLL3	5	0.788
743	ANXA3	2	0.793
744	LRIT2	3	0.796
745	RNPC3	2	0.801
746	A2ML1	6	0.802
747	TPPP2	2	0.802
748	ZNF318	2	0.803
749	ALDH8A1	2	0.805
750	OR2T12	2	0.808
751	OR5H15	3	0.809
752	NDUFV3	4	0.809
753	TMEM59	2	0.812
754	ASMTL	2	0.813
755	REM2	2	0.814
756	OR5T3	2	0.815
757	FARSB	2	0.816
758	MMAA	2	0.816
759	GSR	2	0.816
760	POLQ	3	0.82
761	ATP13A5	2	0.82
762	CASP5	2	0.823
763	DOCK6	3	0.823
764	TANC1	3	0.824
765	CACNB2	2	0.825
766	TPTE	6	0.825
767	GINS4	2	0.826
768	GPLD1	2	0.827
769	C9	5	0.83
770	GPR32	2	0.83
771	AGXT2	3	0.833
772	KCNV2	2	0.833
773	PGBD4	2	0.834
774	TOM1L1	2	0.834
775	PASK	2	0.835
776	SLC22A14	2	0.835
777	CEP192	2	0.835
778	GLB1L3	2	0.836
779	ANKAR	2	0.837
780	DGKD	3	0.837
781	DCLRE1A	2	0.838
782	FYCO1	2	0.84
783	PNPLA7	2	0.84
784	QPCT	2	0.841
785	DPPA4	2	0.841
786	ACADL	2	0.842
787	ZMYM5	3	0.842
788	AGMO	2	0.843
789	EME1	2	0.843
790	ALDH1B1	4	0.844
791	PCDHB11	2	0.845
792	DNAI1	3	0.846
793	OR10V1	2	0.846
794	CCDC113	2	0.848
795	TMC2	2	0.851
796	FAM221A	3	0.852
797	TPP1	2	0.852
798	GPR33	2	0.852
799	GLT6D1	2	0.853
800	KRTAP29-1	3	0.853
801	NOC2L	2	0.854
802	DCHS2	5	0.854
803	GP1BA	3	0.854
804	CCDC141	3	0.856
805	KIRREL2	2	0.856
806	ALS2CR11	3	0.857
807	MYH15	3	0.857
808	SYNE2	3	0.857
809	CXorf22	2	0.857
810	PCDHB13	2	0.86
811	ZNF138	4	0.86
812	MS4A18	2	0.86
813	USP40	2	0.864
814	MICAL1	2	0.864
815	CD163L1	2	0.864
816	HLA-DPB1	2	0.865
817	PTCHD3	5	0.865
818	SYDE2	3	0.867
819	NDUFAF2	2	0.867
820	ARHGEF37	2	0.867
821	ZNF727	2	0.867
822	EFCAB13	6	0.867
823	NLRP13	2	0.869
824	KIAA0586	2	0.87
825	ANXA5	2	0.871
826	CNGB3	2	0.871
827	PLD2	2	0.871
828	IGFN1	5	0.873
829	OGFOD3	2	0.873
830	ZNF555	2	0.873
831	MS4A2	2	0.874
832	MPO	3	0.874
833	MAGEC1	4	0.874
834	CLK4	2	0.875
835	ZNF529	2	0.875
836	CCDC66	5	0.876
837	OXA1L	2	0.876
838	ZNF528	3	0.876
839	UGT1A10	2	0.877
840	PXDNL	4	0.878
841	ZFAND4	3	0.878
842	SCGB1D1	2	0.879
843	UTP14C	2	0.879
844	SLC22A25	4	0.88
845	C3orf52	2	0.882
846	C1orf101	2	0.883
847	COL15A1	2	0.883
848	BBS10	2	0.883
849	GSTA5	2	0.884
850	EXO1	2	0.885
851	VRK2	3	0.885
852	C6orf123	2	0.885
853	ZNF626	2	0.885
854	CASP4	2	0.886
855	CSF2RB	2	0.886
856	FAM26F	2	0.888
857	C10orf53	2	0.888
858	ZNF28	4	0.888
859	TRIM60	2	0.889
860	MYOF	3	0.889
861	EFHB	2	0.89
862	FIGNL1	2	0.89
863	HSPB3	2	0.892
864	DUOX2	3	0.892
865	CCDC168	3	0.894
866	RSL1D1	2	0.896
867	BLK	2	0.897
868	AMZ2	2	0.898
869	PNLDC1	2	0.902
870	KIAA0408	2	0.903
871	MPEG1	2	0.903
872	DNAH14	13	0.905
873	RYR1	2	0.913
874	TMCO4	3	0.927
875	SERPINA9	3	0.927
876	ALPK2	5	0.93
877	GJB4	2	1
878	L1TD1	3	1
879	GBP3	2	1
880	OVGP1	2	1
881	OR6K2	2	1
882	SCN7A	2	1
883	STK36	2	1
884	ITIH1	2	1
885	ARGFX	2	1
886	GRK4	2	1
887	COX18	2	1
888	DAPP1	2	1
889	PAPD7	2	1
890	DMGDH	2	1
891	FAM81B	3	1
892	PCDHA4	2	1
893	RPP40	2	1
894	MUC22	2	1
895	FOXO3	3	1
896	PVRIG	2	1
897	ADAM2	2	1
898	DNHD1	8	1
899	OR4C11	2	1
900	CASP12	3	1
901	NCAM1	2	1
902	TMEM225	2	1
903	SLCO1B1	2	1
904	CNOT2	2	1
905	GALNT9	2	1
906	EXOC3L4	2	1
907	APOPT1	2	1
908	IGHV3-48	2	1
909	RGS11	2	1
910	NTN3	3	1
911	KRTAP4-7	2	1
912	AOC2	2	1
913	NACA2	2	1
914	ASPSCR1	2	1
915	SERPINB3	2	1
916	SERPINB10	2	1
917	GAMT	2	1
918	ZNF429	2	1
919	ZNF546	3	1
920	ZNF534	3	1
921	ZNF749	2	1
922	SON	2	1
923	TRPM2	2	1
924	KRTAP10-1	2	1
925	PLA2G3	2	1
926	UPK3A	2	1
927	UPF3B	2	1
