Gene	M	P.SKAT
197	ADH1A	2	0.382
198	GCKR	2	0.386
199	GLIS3	2	0.386
200	RNPEP	2	0.39
201	ERCC2	4	0.392
202	ZNF124	2	0.396
203	SERPINA3	2	0.399
204	PGAP1	2	0.401
205	PRDM2	2	0.402
206	ABCC12	5	0.414
207	ZNF226	2	0.414
208	APOC3	2	0.416
209	SLC11A2	2	0.416
210	SERHL2	2	0.419
211	FAM228B	3	0.421
212	DNAH7	5	0.434
213	ZNF594	2	0.436
214	RAD51AP2	4	0.438
215	GPR151	3	0.439
216	ZNF44	3	0.443
217	PRIMPOL	2	0.444
218	ABCC11	3	0.449
219	ZNF599	3	0.46
220	TRPV4	2	0.463
221	DTYMK	2	0.466
222	TRAPPC11	3	0.467
223	ANKHD1	2	0.469
224	OR8J3	2	0.47
225	NUDT17	2	0.471
226	ZNF852	2	0.471
227	PLB1	4	0.473
228	LGALS12	3	0.473
229	CENPBD1	2	0.476
230	FCHSD1	2	0.485
231	NLRP9	2	0.487
232	CYP3A5	2	0.488
233	SCGN	2	0.49
234	ATM	8	0.495
235	BST1	2	0.498
236	PSG9	2	0.499
237	WDR66	2	0.506
238	PDIA2	3	0.506
239	PABPC3	2	0.517
240	NUDT7	2	0.517
241	CLTCL1	2	0.522
242	CBL	2	0.525
243	FASTKD1	2	0.526
244	IFIH1	2	0.531
245	CYP2D6	3	0.531
246	ZNF227	2	0.532
247	AGL	3	0.533
248	SLC43A1	2	0.535
249	CEBPZ	2	0.537
250	TBX10	2	0.538
251	TIGD4	2	0.542
252	DPYD	2	0.548
253	MICALCL	3	0.55
254	FLG	5	0.551
255	ACSM1	2	0.555
256	ZNF615	2	0.561
257	OR2G6	2	0.563
258	LIG3	2	0.563
259	HHIPL2	3	0.564
260	RAD52	2	0.568
261	LTK	2	0.57
262	HSD3B1	2	0.574
263	NPHP3	4	0.575
264	POLR3F	2	0.575
265	BRCA1	2	0.58
266	MROH2A	2	0.586
267	CEP112	2	0.586
268	STK33	2	0.59
269	IGSF22	2	0.591
270	SFXN3	3	0.592
271	CHP2	2	0.593
272	ZNF845	2	0.594
273	EFCAB5	4	0.595
274	FCRL2	2	0.596
275	MEOX2	2	0.596
276	LIPT1	2	0.599
277	PDE11A	2	0.601
278	ASB15	3	0.601
279	TTC40	2	0.602
280	DNAJB7	2	0.605
281	CARS2	2	0.607
282	NEDD4	3	0.608
283	P2RX6	2	0.61
284	BANK1	2	0.613
285	MTIF2	2	0.615
286	KDELC2	2	0.615
287	C14orf166B	2	0.616
288	ZNF563	2	0.616
289	WRN	3	0.624
290	COL6A6	2	0.626
291	AGR3	2	0.627
292	PXMP2	3	0.627
293	UPB1	2	0.629
294	C15orf48	2	0.632
295	CXCR1	2	0.634
296	MSS51	2	0.634
297	PKD1L2	2	0.635
298	LILRB5	2	0.636
299	KIAA1919	2	0.642
300	SERPINA10	2	0.643
301	HELB	2	0.651
302	PITPNM3	2	0.651
303	BRIP1	3	0.652
304	REXO4	2	0.656
305	CHEK2	2	0.656
306	ANKRD35	3	0.657
307	PEX12	2	0.66
308	SLC25A24	2	0.662
309	SYTL2	2	0.664
310	TCHH	2	0.667
311	MYO7A	3	0.672
312	SUZ12	2	0.674
313	RIMS1	2	0.68
314	TRAP1	2	0.68
315	RBKS	2	0.684
316	C14orf105	3	0.685
317	PIWIL3	2	0.687
318	DIXDC1	2	0.696
319	C2CD2	2	0.697
320	C9orf43	2	0.699
321	PSTPIP1	2	0.699
322	SULT1C2	2	0.7
323	GPATCH4	2	0.703
324	ZNF596	3	0.705
325	MYH1	2	0.706
326	SPG7	3	0.708
327	FBXW8	2	0.71
328	CHRNA6	2	0.711
329	LAMB2	3	0.718
330	B3GALTL	2	0.722
331	ATP7B	2	0.722
332	FAM179A	4	0.725
333	EIF2AK4	2	0.727
334	IMPG2	3	0.73
335	FHAD1	2	0.741
336	C18orf21	2	0.741
337	TMCO4	2	0.742
338	ZNF16	2	0.743
339	LARP1B	2	0.744
340	CASC5	2	0.745
341	OR7G3	2	0.746
342	MOGAT1	2	0.752
343	GNLY	2	0.754
344	KCNJ16	2	0.754
345	MSH4	2	0.76
346	PLA1A	2	0.761
347	C5orf42	2	0.764
348	SETD6	2	0.765
349	ZNF844	3	0.767
350	ZNF569	2	0.77
351	PDE6A	2	0.773
352	ZNF83	2	0.773
353	MMP19	3	0.776
354	HNRNPA1L2	2	0.778
355	GOLGA6L2	2	0.782
356	ASTE1	2	0.784
357	RNF32	3	0.786
358	ZNF841	3	0.786
359	C2orf70	2	0.787
360	TTLL3	5	0.791
361	ZNF318	2	0.803
362	ALDH8A1	2	0.805
363	TEX15	3	0.813
364	OR5T3	2	0.815
365	MMAA	2	0.816
366	GSR	2	0.816
367	TPTE	6	0.821
368	AGXT2	3	0.823
369	MUC19	3	0.823
370	TANC1	3	0.824
371	GINS4	2	0.826
372	C9	5	0.828
373	GPLD1	2	0.828
374	GPR32	2	0.83
375	KCNV2	2	0.833
376	TOM1L1	2	0.834
377	CEP192	2	0.835
378	DCLRE1A	2	0.836
379	GLB1L3	2	0.836
380	DGKD	3	0.837
381	CCDC66	4	0.838
382	FYCO1	2	0.84
383	ZMYM5	3	0.84
384	DPPA4	2	0.841
385	PCDHB11	2	0.845
386	ALDH1B1	4	0.845
387	DNAI1	3	0.847
388	CCDC113	2	0.848
389	FAM221A	3	0.851
390	TPP1	2	0.852
391	GPR33	2	0.852
392	GP1BA	3	0.854
393	SLC22A14	2	0.856
394	ALS2CR11	3	0.857
395	CXorf22	2	0.858
396	ZNF138	4	0.86
397	PTCHD3	3	0.86
398	MS4A18	2	0.86
399	CNTLN	2	0.861
400	USP40	2	0.864
401	MICAL1	2	0.864
402	CD163L1	2	0.864
403	SYDE2	3	0.867
404	NDUFAF2	2	0.867
405	MPO	2	0.869
406	NLRP13	2	0.869
407	PXDNL	3	0.87
408	PLD2	2	0.871
409	IGFN1	5	0.873
410	ZNF555	2	0.873
411	ZNF528	3	0.873
412	GRAMD1C	2	0.874
413	KRTAP29-1	2	0.874
414	MAGEC1	4	0.874
415	CLK4	2	0.875
416	MS4A2	2	0.875
417	ZNF529	2	0.875
418	OXA1L	2	0.876
419	UGT1A10	2	0.877
420	A2ML1	2	0.877
421	SCGB1D1	2	0.879
422	UTP14C	2	0.879
423	DOCK6	2	0.879
424	COL15A1	2	0.883
425	BBS10	2	0.883
426	EXO1	2	0.885
427	VRK2	3	0.885
428	GSTA5	2	0.885
429	C6orf123	2	0.885
430	ZNF626	2	0.885
431	CSF2RB	2	0.886
432	ECT2L	2	0.887
433	ZNF28	3	0.887
434	C10orf53	2	0.888
435	TRIM60	2	0.889
436	MYOF	3	0.889
437	FIGNL1	2	0.89
438	HSPB3	2	0.892
439	DUOX2	3	0.892
440	BLK	2	0.897
441	DNHD1	7	0.898
442	AMZ2	2	0.898
443	PNLDC1	2	0.902
444	MPEG1	2	0.903
445	RYR1	2	0.913
446	SERPINA9	3	0.927
447	ALPK2	5	0.93
448	GJB4	2	1
449	L1TD1	3	1
450	OR6K2	2	1
451	DNAH14	9	1
452	GRK4	2	1
453	DMGDH	2	1
454	FAM81B	3	1
455	NCAM1	2	1
456	EFCAB13	3	1
457	ZNF429	2	1
458	ZNF546	2	1
459	ZNF534	3	1
460	ZNF749	2	1
461	SON	2	1
462	NDUFV3	3	1
463	UPK3A	2	1
