Gene	Estimate	SE	P.Wald	P.LRT	P.Score
378	LAMA3	-14.543	622.822	0.981	0.1	0.164
379	LRRC43	14.535	624.17	0.981	0.1	0.165
380	LRTM1	-14.541	623.899	0.981	0.1	0.164
381	MPPE1	14.546	624.185	0.981	0.1	0.165
382	MRPL2	-14.535	624.049	0.981	0.1	0.165
383	ADAMTSL4	14.53	622.354	0.981	0.101	0.167
384	C16orf90	-14.539	624.082	0.981	0.101	0.166
385	CAPN12	-14.537	624.095	0.981	0.101	0.165
386	ERMARD	14.533	624.179	0.981	0.101	0.165
387	G6PC3	14.531	623.851	0.981	0.101	0.167
388	GCNT3	-14.529	624.135	0.981	0.101	0.166
389	NOC3L	14.539	624.183	0.981	0.101	0.165
390	OSGEPL1	14.53	624.125	0.981	0.101	0.166
391	PHYHD1	14.528	624.179	0.981	0.101	0.167
392	PRSS36	14.534	624.194	0.981	0.101	0.167
393	RP11-514P8.7	-14.535	623.558	0.981	0.101	0.165
394	SELP	14.536	624.057	0.981	0.101	0.165
395	TMEM99	14.536	624.062	0.981	0.101	0.166
396	ZNF157	-14.534	622.984	0.981	0.101	0.165
397	C1QTNF3	14.525	623.824	0.981	0.102	0.168
398	CLEC4E	-14.528	624.134	0.981	0.102	0.167
399	DCP1B	-14.542	624.19	0.981	0.102	0.167
400	DNAH3	-14.529	624.17	0.981	0.102	0.168
401	DYTN	-14.535	622.441	0.981	0.102	0.167
402	ENOSF1	14.535	624.182	0.981	0.102	0.168
403	FOLR4	14.532	624.149	0.981	0.102	0.167
404	FSCB	-14.525	623.895	0.981	0.102	0.167
405	LGALS9C	14.523	624.077	0.981	0.102	0.168
406	MAP10	-14.526	623.958	0.981	0.102	0.167
407	MIB1	14.526	624.189	0.981	0.102	0.168
408	NFIA	-14.523	621.859	0.981	0.102	0.167
409	OR2C1	-0.416	0.258	0.107	0.102	0.104
410	RAB19	14.528	624.167	0.981	0.102	0.168
411	TAS2R7	14.528	624.132	0.981	0.102	0.167
412	TAX1BP1	-14.516	621.685	0.981	0.102	0.168
413	TMC4	14.522	624.188	0.981	0.102	0.168
414	UBE2U	-14.521	623.887	0.981	0.102	0.168
415	ZNF765	14.523	623.943	0.981	0.102	0.168
416	CASQ1	-14.518	623.995	0.981	0.103	0.169
417	CCDC144NL	-14.51	621.842	0.981	0.103	0.17
418	FAM129A	-14.517	621.617	0.981	0.103	0.17
419	ITPRIPL1	-14.523	623.954	0.981	0.103	0.169
420	PALB2	14.521	624.172	0.981	0.103	0.17
421	PPM1D	14.514	623.45	0.981	0.103	0.17
422	C12orf60	-0.288	0.178	0.106	0.104	0.105
423	C2orf40	14.511	624.16	0.981	0.104	0.171
424	ETV7	14.511	624.193	0.981	0.104	0.171
425	KIAA0556	14.517	623.977	0.981	0.104	0.171
426	NCAPD2	-14.515	623.075	0.981	0.104	0.171
427	PHKB	-14.517	624.193	0.981	0.104	0.171
428	POTEA	-14.511	624.099	0.981	0.104	0.172
429	TOP1MT	-14.503	623.513	0.981	0.104	0.172
430	ALS2CR12	-14.503	624.079	0.981	0.105	0.173
431	FOXM1	14.503	624.137	0.981	0.105	0.173
432	OR2V2	-0.506	0.316	0.109	0.105	0.107
433	SAMD15	-14.553	623.864	0.981	0.105	0.172
434	USMG5	-14.553	623.864	0.981	0.105	0.172
435	AKAP3	-0.154	0.096	0.108	0.106	0.106
436	ALS2CL	-14.5	622.488	0.981	0.106	0.174
437	HEXA	-14.492	624.119	0.981	0.106	0.175
438	IFT81	-14.525	624.073	0.981	0.106	0.174
439	MAGEE2	-0.577	0.364	0.113	0.106	0.108
440	RGL4	14.496	623.846	0.981	0.106	0.174
441	RNF175	-14.134	708.707	0.984	0.106	0.203
442	RP11-487E13.1	0.322	0.201	0.108	0.106	0.107
443	SERPINI2	-4.83	207.363	0.981	0.106	0.174
444	TNFRSF10A	-14.496	622.917	0.981	0.106	0.174
445	WDR16	-14.512	624.084	0.981	0.106	0.174
446	C16orf74	-14.489	623.094	0.981	0.107	0.176
447	CDHR1	-14.497	623.923	0.981	0.107	0.175
448	MRPL4	-14.483	622.416	0.981	0.107	0.176
449	ZNF595	0.562	0.354	0.112	0.107	0.109
450	CEACAM7	-14.479	623.477	0.981	0.108	0.179
451	CR2	14.479	624.098	0.981	0.108	0.178
452	ENDOU	-14.478	622.548	0.981	0.108	0.177
453	IL7R	14.486	624.071	0.981	0.108	0.177
454	KRTAP13-1	-14.481	623.424	0.981	0.108	0.178
455	TRIB3	14.537	623.82	0.981	0.108	0.176
456	NPC1	-14.475	622.996	0.981	0.109	0.179
457	PPP2R2C	14.483	624.172	0.981	0.109	0.179
458	TMPRSS11A	0.276	0.173	0.11	0.109	0.109
459	CNOT10	-14.472	623.414	0.981	0.11	0.182
460	TRIM55	-14.466	623.239	0.981	0.11	0.18
461	ABCB5	0.949	0.626	0.13	0.112	0.118
462	DCXR	-14.452	624.19	0.982	0.112	0.184
463	MTMR6	-0.405	0.257	0.115	0.112	0.113
464	PLET1	-14.48	622.994	0.981	0.112	0.184
465	SETD4	-14.47	622.747	0.981	0.113	0.186
466	SRA1	0.102	0.064	0.114	0.113	0.114
467	PNPLA1	-0.728	0.474	0.125	0.114	0.118
